Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$76,207,561,064.00",-19.83%,"54,924,072",$170.46,-0.14%,No,No,0.69%,-23.00%,-3.93%,33.55%,64.21%,"$6,931,373,765.50","$4,156,286,414.00","$4,245,221,094.50","$8,934,351,056.00","$20,082,252,715.00","$18,768,237,949.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.58,2019-12-23,$0.46,0.93%,22.66,1.16,104,54.54%,35%,15%,1099,$162.79,$229.20,$165.52,$174.80,36.49,A-,A+,A-,A-,C+,B,B,5.55,46.18%,51.11%,49.21,9.03%,8.17%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$22,421,782,041.00",-38.19%,"7,315,036",$56.91,-4.64%,No,No,-12.97%,-41.60%,-31.09%,-20.91%,-18.70%,"-$88,170,917.74","-$305,629,875.34","-$712,636,563.35","$540,502,219.01","-$876,297,558.52","$5,633,102,000.30",Real Estate,2004-09-23,0.12%,2 Platforms,$3.79,2020-03-10,$0.65,6.31%,34.60,0.54,181,43.61%,35%,15%,1099,$55.80,$104.58,$55.16,$59.08,27.16,A+,A,A,A-,B+,A-,A,4.41,65.90%,26.51%,118.0,0.64%,8.20%
XLK,Technology Select Sector SPDR Fund,Equity,"$20,448,109,776.00",-23.20%,"18,917,044",$70.40,-1.43%,No,No,-2.98%,-26.15%,-3.03%,38.24%,78.38%,"$716,073,936.50","$570,021,738.50","$453,599,393.50","$2,849,983,528.00","-$670,424,229.50","$102,407,403.57",Technology Equities,1998-12-16,0.13%,N/A,$1.06,2019-12-20,$0.29,1.48%,22.73,1.14,72,68.02%,35%,15%,1099,$68.26,$98.99,$68.26,$72.38,36.01,A,A+,A,C+,A+,A-,B+,6.39,79.89%,74.80%,21.49,0.32%,5.54%
VGT,Vanguard Information Technology ETF,Equity,"$19,706,856,049.00",-23.95%,"1,155,347",$185.49,-0.89%,No,No,-2.38%,-26.65%,-5.39%,43.10%,82.24%,"$607,207,872.59","$127,671,581.04","-$134,720,868.17","$2,272,877,156.12","$3,280,568,847.39","$5,747,495,949.93",Technology Equities,2004-01-30,0.10%,Vanguard,$3.56,2020-03-10,$0.84,1.90%,26.60,1.19,322,60.06%,35%,15%,1099,$177.75,$262.75,$179.85,$190.73,35.12,A+,A,A,B-,A,A-,A+,6.18,72.24%,69.46%,22.36,0.77%,5.22%
XLV,Health Care Select Sector SPDR Fund,Equity,"$15,711,603,335.00",-26.74%,"13,031,300",$74.62,-5.65%,No,No,-8.69%,-25.51%,-15.88%,5.57%,8.26%,"$1,581,489,872.50","$828,151,890.50","$1,216,540,583.50","$239,911,006.00","$543,764,532.00","$2,461,712,683.84",Health & Biotech Equities,1998-12-16,0.13%,N/A,$2.45,2019-12-30,$1.33,3.10%,17.30,0.90,61,51.58%,35%,15%,1099,$77.01,$103.95,$72.67,$77.44,31.84,A,A+,A,B+,B+,A-,B+,5.57,70.94%,51.55%,18.49,0.00%,13.10%
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$12,273,312,072.00",-22.79%,"16,750,467",$48.63,-3.51%,No,No,-7.85%,-23.01%,-9.78%,-4.30%,12.91%,"$2,200,156,784.00","$1,194,845,564.00","$1,845,385,842.00","$3,205,412,395.00","$5,550,575,882.50","$4,229,780,105.75",Consumer Staples Equities,1998-12-16,0.13%,N/A,$1.62,2019-12-20,$0.51,3.21%,20.86,0.58,34,71.81%,35%,15%,1099,$49.90,$65.42,$47.33,$50.27,34.08,A,A+,A,B,A-,A,B+,6.87,82.67%,84.41%,60.45,12.12%,17.07%
XLF,Financial Select Sector SPDR Fund,Equity,"$12,200,435,129.00",-42.63%,"71,493,232",$17.66,-6.61%,No,No,-11.21%,-40.68%,-29.24%,-20.95%,-4.27%,"-$2,956,383,243.00","-$1,261,047,435.50","-$3,190,599,344.00","-$6,244,584,248.50","-$7,710,532,646.50","-$1,258,959,624.92",Financials Equities,1998-12-16,0.13%,N/A,$0.57,2019-12-20,$0.16,3.04%,13.92,1.14,67,56.03%,35%,15%,1099,$16.58,$30.95,$17.23,$18.34,29.15,A,A+,A,A-,B+,B-,B+,4.16,28.19%,22.26%,39.99,12.76%,0.24%
GDX,VanEck Vectors Gold Miners ETF,Equity,"$9,533,366,856.00",-25.10%,"68,117,152",$21.93,6.72%,No,No,-2.49%,-29.37%,-3.06%,-3.75%,17.13%,"-$106,718,275.50","-$83,294,383.00","-$374,424,505.00","-$384,527,704.00","-$1,795,473,733.00","$2,625,889,645.00",Materials,2006-05-22,0.53%,N/A,$0.19,2019-12-23,$0.19,0.87%,30.07,-0.17,48,66.50%,35%,15%,1099,$18.73,$32.67,$20.94,$23.11,42.03,B+,A+,A-,C+,C+,B+,B-,6.24,58.06%,71.18%,456.69,4.49%,0.00%
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$9,061,276,367.00",-30.21%,"6,823,995",$87.53,-0.32%,No,No,-2.03%,-30.43%,-20.83%,5.31%,21.95%,"-$1,138,599,125.50","-$852,395,108.50","-$1,237,524,143.50","-$797,069,671.00","-$3,676,561,985.00","-$3,846,234,526.57",Consumer Discretionary Equities,1998-12-16,0.13%,N/A,$1.60,2019-12-20,$0.41,1.82%,22.73,1.09,65,73.76%,35%,15%,1099,$80.49,$132.13,$85.02,$89.67,30.80,A,A+,A,B+,A,A-,B+,4.77,46.15%,35.11%,55.25,26.69%,0.64%
XLU,Utilities Select Sector SPDR Fund,Equity,"$8,298,460,493.00",-30.47%,"21,448,760",$44.93,-6.04%,No,No,-12.11%,-35.36%,-21.36%,-5.22%,17.20%,"$1,358,438,840.00","-$116,359,346.50","$1,270,027,194.00","$1,911,276,634.00","$3,058,440,431.00","$2,670,027,148.61",Utilities Equities,1998-12-16,0.13%,N/A,$1.91,2019-12-20,$0.50,3.99%,20.55,0.16,29,62.91%,35%,15%,1099,$46.77,$73.93,$43.18,$46.93,29.84,A,A+,A,B+,A,A,B-,7.61,79.17%,93.75%,2785.34,67.97%,5.90%
