FENY: Fidelity MSCI Energy Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	391875
Shares Outstanding: 27700000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Energy Index
ETFdb.com Category: Energy Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FENY


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,22.7223%
Chevron Corp,CVX,17.5877%
ConocoPhillips,COP,5.7056%
Schlumberger NV,SLB,4.0084%
Kinder Morgan Inc,KMI,3.6768%
EOG Resources Inc,EOG,3.6597%
Phillips 66,PSX,3.5398%
Marathon Petroleum Corp,MPC,3.1055%
Occidental Petroleum Corp,OXY,3.072%
Valero Energy Corp,VLO,3.016%
ONEOK Inc,OKE,2.6783%
Williams Companies Inc,WMB,2.1677%
Pioneer Natural Resources Co,PXD,1.947%
Halliburton Co,HAL,1.6529%
Hess Corp,HES,1.3438%
Concho Resources Inc,CXO,1.3179%
Baker Hughes Co,BKR,1.1821%
Cheniere Energy Inc,LNG,1.181%
Diamondback Energy Inc,FANG,0.9994%
Apache Corp,APA,0.8924%
Noble Energy Inc,NBL,0.8162%
Marathon Oil Corp,MRO,0.791%
Devon Energy Corp,DVN,0.7585%
Targa Resources Corp,TRGP,0.7328%
National Oilwell Varco Inc,NOV,0.6877%
HollyFrontier Corp,HFC,0.6097%
TechnipFMC PLC,FTI,0.5923%
Cabot Oil & Gas Corp,COG,0.51%
WPX Energy Inc,WPX,0.4359%
Parsley Energy Inc,PE,0.4329%
Texas Pacific Land Trust,TPL,0.4274%
Cash Component,CASH,0.408%
Cimarex Energy Co,XEC,0.3848%
Helmerich and Payne Inc,HP,0.3841%
Tallgrass Energy LP,TGE,0.3123%
Murphy Oil Corp,MUR,0.2786%
PBF Energy Inc,PBF,0.2702%
Plains GP Holdings LP,PAGP,0.2495%
World Fuel Services Corp,INT,0.2213%
Continental Resources Inc,CLR,0.2194%
Transocean Ltd,RIG,0.205%
PDC Energy Inc,PDCE,0.1893%
Equitrans Midstream Corp,ETRN,0.1818%
Delek US Holdings Inc,DK,0.1786%
Apergy Corp,APY,0.1755%
Matador Resources Co,MTDR,0.141%
Patterson-UTI Energy Inc,PTEN,0.1392%
EQT Corp,EQT,0.1343%
Core Laboratories NV,CLB,0.1341%
Dril-Quip Inc,DRQ,0.1272%
Kosmos Energy Ltd,KOS,0.125%
Cactus Inc,WHD,0.1182%
Viper Energy Partners LP,VNOM,0.1172%
CNX Resources Corp,CNX,0.1165%
EnLink Midstream LLC,ENLC,0.1159%
Magnolia Oil & Gas Corp,MGY,0.1071%
Oceaneering International Inc,OII,0.1053%
Callon Petroleum Co,CPE,0.1027%
Helix Energy Solutions Group Inc,HLX,0.1014%
Antero Midstream Corp,AM,0.0991%
Archrock Inc,AROC,0.0933%
Renewable Energy Group Inc,REGI,0.0892%
CVR Energy Inc,CVI,0.0881%
SM Energy Co,SM,0.0844%
Southwestern Energy Co,SWN,0.0733%
ProPetro Holding Corp,PUMP,0.0716%
Nextier Oilfield Solutions Inc,NEX,0.0706%
Arch Coal Inc,ARCH,0.0656%
QEP Resources Inc,QEP,0.065%
SEACOR Holdings Inc,CKH,0.0638%
Nabors Industries Ltd,NBR,0.0618%
Tellurian Inc,TELL,0.0586%
Rattler Midstream LP,RTLR,0.0576%
Oasis Petroleum Inc,OAS,0.0563%
Range Resources Corp,RRC,0.0551%
Oil States International Inc,OIS,0.0533%
DMC Global Inc,BOOM,0.0532%
Centennial Resource Development Inc,CDEV,0.0521%
Chesapeake Energy Corp,CHK,0.0504%
Tidewater Inc,TDW,0.0472%
Matrix Service Co,MTRX,0.0455%
Brigham Minerals Inc,MNRL,0.0433%
Peabody Energy Corp,BTU,0.0421%
Antero Resources Corp,AR,0.0419%
Liberty Oilfield Services Inc,LBRT,0.0408%
Talos Energy Inc,TALO,0.0403%
Denbury Resources Inc,DNR,0.04%
Newpark Resources Inc,NR,0.0389%
Green Plains Inc,GPRE,0.0388%
Berry Petroleum Corp,BRY,0.0387%
International Seaways Inc,INSW,0.0378%
Select Energy Services Inc,WTTR,0.0364%
Whiting Petroleum Corp,WLL,0.0359%
W&T Offshore Inc,WTI,0.0351%
Gran Tierra Energy Inc,GTE,0.0321%
REX American Resources Corp,REX,0.032%
Northern Oil and Gas Inc,NOG,0.0315%
Solaris Oilfield Infrastructure Inc,SOI,0.031%
U.S. Silica Holdings Inc,SLCA,0.0305%
California Resources Corp,CRC,0.0291%
Diamond Offshore Drilling Inc,DO,0.0275%
Franks International NV,FI,0.0272%
RPC Inc,RES,0.025%
Bonanza Creek Energy Inc,BCEI,0.0231%
Laredo Petroleum Inc,LPI,0.0229%
Diamond S Shipping Inc,DSSI,0.0204%
Gulfport Energy Corp,GPOR,0.0202%
CONSOL Energy Inc,CEIX,0.0195%
Penn Virginia Corp,PVAC,0.0181%
Noble Corporation PLC,NE,0.0178%
Exterran Corp,EXTN,0.0137%
Contura Energy Inc,CTRA,0.0098%
Extraction Oil & Gas Inc,XOG,0.0096%
