FHLC: Fidelity MSCI Health Care Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	1729786
Shares Outstanding: 35700000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FHLC


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,9.0436%
UnitedHealth Group Inc,UNH,5.9408%
Merck & Co Inc,MRK,5.0351%
Pfizer Inc,PFE,4.7414%
Medtronic PLC,MDT,3.566%
Abbott Laboratories,ABT,3.5447%
Bristol-Myers Squibb Co,BMY,3.3978%
Amgen Inc,AMGN,2.9801%
Thermo Fisher Scientific Inc,TMO,2.8843%
Eli Lilly and Co,LLY,2.7911%
Abbvie Inc,ABBV,2.757%
Danaher Corp,DHR,2.3119%
CVS Health Corp,CVS,2.0306%
Gilead Sciences Inc,GILD,1.8427%
Becton Dickinson and Co,BDX,1.7046%
Cigna Corp,CI,1.6684%
Stryker Corp,SYK,1.6359%
Anthem Inc,ANTM,1.5666%
Intuitive Surgical Inc,ISRG,1.4795%
Zoetis Inc,ZTS,1.4743%
Allergan plc,AGN,1.4105%
Boston Scientific Corp,BSX,1.3418%
Vertex Pharmaceuticals Inc,VRTX,1.3409%
Biogen Inc,BIIB,1.1436%
Edwards Lifesciences Corp,EW,1.0532%
Humana Inc,HUM,1.0414%
Baxter International Inc,BAX,0.9948%
Illumina Inc,ILMN,0.9823%
HCA Healthcare Inc,HCA,0.8713%
Centene Corp,CNC,0.843%
Zimmer Biomet Holdings Inc,ZBH,0.6963%
Regeneron Pharmaceuticals Inc,REGN,0.628%
McKesson Corp,MCK,0.6066%
IQVIA Holdings Inc,IQV,0.5963%
Agilent Technologies Inc,A,0.5898%
IDEXX Laboratories Inc,IDXX,0.5372%
Resmed Inc,RMD,0.5252%
Cerner Corp,CERN,0.5251%
Alexion Pharmaceuticals Inc,ALXN,0.5131%
DexCom Inc,DXCM,0.5071%
Align Technology Inc,ALGN,0.4459%
Veeva Systems Inc,VEEV,0.442%
Mettler-Toledo International Inc,MTD,0.4378%
Cooper Companies Inc,COO,0.4011%
Cash Component,CASH,0.4005%
Teleflex Inc,TFX,0.3989%
Laboratory Corporation of America Holdings,LH,0.3912%
Cardinal Health Inc,CAH,0.3511%
Biomarin Pharmaceutical Inc,BMRN,0.3448%
Quest Diagnostics Inc,DGX,0.3428%
Waters Corp,WAT,0.342%
Hologic Inc,HOLX,0.3293%
Exact Sciences Corp,EXAS,0.312%
Incyte Corp,INCY,0.3078%
AmerisourceBergen Corp,ABC,0.3074%
Varian Medical Systems Inc,VAR,0.2961%
Seattle Genetics Inc,SGEN,0.2954%
Alnylam Pharmaceuticals Inc,ALNY,0.2939%
Steris plc,STE,0.2925%
Dentsply Sirona Inc,XRAY,0.2891%
Elanco Animal Health Inc,ELAN,0.282%
Insulet Corp,PODD,0.2725%
West Pharmaceutical Services Inc,WST,0.2641%
Universal Health Services Inc,UHS,0.2548%
Mylan NV,MYL,0.2539%
PerkinElmer Inc,PKI,0.2368%
Henry Schein Inc,HSIC,0.2363%
Catalent Inc,CTLT,0.2044%
Sarepta Therapeutics Inc,SRPT,0.2011%
Neurocrine Biosciences Inc,NBIX,0.1984%
Masimo Corp,MASI,0.1973%
Abiomed Inc,ABMD,0.1923%
DaVita Inc,DVA,0.1913%
Jazz Pharmaceuticals PLC,JAZZ,0.1894%
Bio-Techne Corp,TECH,0.1821%
Bio Rad Laboratories Inc,BIO,0.1789%
Ionis Pharmaceuticals Inc,IONS,0.1782%
Encompass Health Corp,EHC,0.175%
Chemed Corp,CHE,0.1736%
Charles River Laboratories International Inc,CRL,0.1724%
Perrigo Company PLC,PRGO,0.1696%
Molina Healthcare Inc,MOH,0.1676%
Hill-Rom Holdings Inc,HRC,0.1627%
Teladoc Health Inc,TDOC,0.1596%
Horizon Therapeutics PLC,HZNP,0.1481%
Novocure Ltd,NVCR,0.148%
PRA Health Sciences Inc,PRAH,0.1464%
Amedisys Inc,AMED,0.1312%
Bruker Corp,BRKR,0.1246%
Haemonetics Corp,HAE,0.1242%
Penumbra Inc,PEN,0.1232%
Exelixis Inc,EXEL,0.12%
Repligen Corp,RGEN,0.1078%
HealthEquity Inc,HQY,0.1064%
LHC Group Inc,LHCG,0.1023%
bluebird bio Inc,BLUE,0.102%
Reata Pharmaceuticals Inc,RETA,0.0994%
ACADIA Pharmaceuticals Inc,ACAD,0.099%
United Therapeutics Corp,UTHR,0.0968%
Tandem Diabetes Care Inc,TNDM,0.0942%
Acceleron Pharma Inc,XLRN,0.0937%
Nevro Corp,NVRO,0.0933%
Globus Medical Inc,GMED,0.0928%
NuVasive Inc,NUVA,0.0924%
Global Blood Therapeutics Inc,GBT,0.0916%
Integra Lifesciences Holdings Corp,IART,0.0909%
Syneos Health Inc,SYNH,0.0887%
Wright Medical Group NV,WMGI,0.0834%
Arrowhead Pharmaceuticals Inc,ARWR,0.0831%
ICU Medical Inc,ICUI,0.0829%
Envista Holdings Corp,NVST,0.0807%
Neogen Corp,NEOG,0.0806%
Nektar Therapeutics,NKTR,0.0805%
SAGE Therapeutics Inc,SAGE,0.0794%
Omnicell Inc,OMCL,0.0772%
FibroGen Inc,FGEN,0.076%
Momenta Pharmaceuticals Inc,MNTA,0.0755%
Neogenomics Inc,NEO,0.0732%
AMN Healthcare Services Inc,AMN,0.0723%
Agios Pharmaceuticals Inc,AGIO,0.0684%
Blueprint Medicines Corp,BPMC,0.0681%
MyoKardia Inc,MYOK,0.0674%
