FNCL: Fidelity MSCI Financials Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	1062947
Shares Outstanding: 24550000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Financials Index
ETFdb.com Category: Financials Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FNCL


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,10.1614%
Berkshire Hathaway Inc,BRK.B,7.0909%
Bank of America Corp,BAC,6.9682%
Wells Fargo & Co,WFC,4.7159%
Citigroup Inc,C,4.0352%
Cash Component,CASH,2.2333%
American Express Co,AXP,2.1956%
U.S. Bancorp,USB,1.9126%
CME Group Inc,CME,1.8653%
Goldman Sachs Group Inc,GS,1.845%
S&P Global Inc,SPGI,1.7367%
Chubb Ltd,CB,1.6639%
Truist Financial Corp,TFC,1.6603%
PNC Financial Services Group Inc,PNC,1.5919%
Morgan Stanley,MS,1.5546%
BlackRock Inc,BLK,1.4616%
Marsh & McLennan Companies Inc,MMC,1.3589%
Intercontinental Exchange Inc,ICE,1.3407%
Charles Schwab Corp,SCHW,1.2856%
Aon PLC,AON,1.2514%
Progressive Corp,PGR,1.1331%
Capital One Financial Corp,COF,1.1248%
American International Group Inc,AIG,1.0494%
Moody's Corp,MCO,1.0438%
Blackstone Group Inc,BX,0.9704%
MetLife Inc,MET,0.9506%
Allstate Corp,ALL,0.9363%
Aflac Inc,AFL,0.9171%
Bank of New York Mellon Corp,BK,0.9122%
Prudential Financial Inc,PRU,0.8791%
Travelers Companies Inc,TRV,0.8208%
T. Rowe Price Group Inc,TROW,0.7525%
State Street Corp,STT,0.6777%
Willis Towers Watson PLC,WLTW,0.6539%
MSCI Inc,MSCI,0.5809%
Discover Financial Services,DFS,0.5726%
Ameriprise Financial Inc,AMP,0.5196%
Hartford Financial Services Group Inc,HIG,0.5148%
M&T Bank Corp,MTB,0.5138%
Fifth Third Bancorp,FITB,0.4968%
Northern Trust Corp,NTRS,0.4789%
Synchrony Financial,SYF,0.4641%
Arthur J Gallagher & Co,AJG,0.4596%
KeyCorp,KEY,0.4503%
First Republic Bank,FRC,0.4456%
Arch Capital Group Ltd,ACGL,0.4304%
Citizens Financial Group Inc,CFG,0.3995%
Cincinnati Financial Corp,CINF,0.3927%
Markel Corp,MKL,0.3793%
KKR & Co Inc,KKR,0.3772%
Regions Financial Corp,RF,0.3726%
Principal Financial Group Inc,PFG,0.3547%
Annaly Capital Management Inc,NLY,0.3422%
Huntington Bancshares Inc,HBAN,0.3379%
Loews Corp,L,0.3351%
Cboe Global Markets Inc,CBOE,0.3301%
Marketaxess Holdings Inc,MKTX,0.3272%
Nasdaq Inc,NDAQ,0.3228%
Fidelity National Financial Inc,FNF,0.322%
TD Ameritrade Holding Corp,AMTD,0.3136%
Ally Financial Inc,ALLY,0.3003%
SVB Financial Group,SIVB,0.2997%
Raymond James Financial Inc,RJF,0.2745%
Everest Re Group Ltd,RE,0.2683%
Factset Research Systems Inc,FDS,0.2643%
Lincoln National Corp,LNC,0.2617%
W. R. Berkley Corp,WRB,0.2615%
Globe Life Inc,GL,0.2601%
Alleghany Corp,Y,0.2579%
Brown & Brown Inc,BRO,0.2572%
E*TRADE Financial Corp,ETFC,0.2461%
AGNC Investment Corp,AGNC,0.2447%
Equitable Holdings Inc,EQH,0.243%
Comerica Inc,CMA,0.2204%
Reinsurance Group of America Inc,RGA,0.2196%
SEI Investments Co,SEIC,0.202%
Voya Financial Inc,VOYA,0.2014%
Renaissancere Holdings Ltd,RNR,0.2013%
American Financial Group Inc,AFG,0.201%
Zions Bancorporation NA,ZION,0.1933%
Assurant Inc,AIZ,0.193%
Signature Bank,SBNY,0.1901%
Franklin Resources Inc,BEN,0.1835%
LPL Financial Holdings Inc,LPLA,0.183%
Starwood Property Trust Inc,STWD,0.1731%
Commerce Bancshares Inc,CBSH,0.1688%
New Residential Investment Corp,NRZ,0.1678%
Invesco Ltd,IVZ,0.1662%
First American Financial Corp,FAF,0.1661%
People's United Financial Inc,PBCT,0.1645%
Athene Holding Ltd,ATH,0.161%
East West Bancorp Inc,EWBC,0.1609%
Prosperity Bancshares Inc,PB,0.1589%
TCF Financial Corp,TCF,0.1562%
Old Republic International Corp,ORI,0.1562%
Hanover Insurance Group Inc,THG,0.1344%
Unum Group,UNM,0.1331%
Jefferies Financial Group Inc,JEF,0.1329%
Western Alliance Bancorp,WAL,0.1301%
Synovus Financial Corp,SNV,0.1294%
Popular Inc,BPOP,0.1292%
Cullen/Frost Bankers Inc,CFR,0.1277%
Eaton Vance Corp,EV,0.1247%
First Horizon National Corp,FHN,0.1205%
Primerica Inc,PRI,0.1205%
Radian Group Inc,RDN,0.1199%
MGIC Investment Corp,MTG,0.1178%
Blackstone Mortgage Trust Inc,BXMT,0.1165%
Essent Group Ltd,ESNT,0.1123%
SLM Corp,SLM,0.112%
