FSTA: Fidelity MSCI Consumer Staples Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	609774
Shares Outstanding: 16200000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Consumer Staples Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FSTA


Holding,Symbol,Weighting
Procter & Gamble Co,PG,15.0046%
Coca-Cola Co,KO,11.413%
PepsiCo Inc,PEP,9.5534%
Walmart Inc,WMT,7.8597%
Costco Wholesale Corp,COST,6.461%
Philip Morris International Inc,PM,6.1915%
Altria Group Inc,MO,4.2706%
Mondelez International Inc,MDLZ,3.9818%
Colgate-Palmolive Co,CL,2.8932%
Kimberly-Clark Corp,KMB,2.3746%
Estee Lauder Companies Inc,EL,2.0739%
Sysco Corp,SYY,1.9247%
Walgreens Boots Alliance Inc,WBA,1.8778%
General Mills Inc,GIS,1.515%
Constellation Brands Inc,STZ,1.5108%
Monster Beverage Corp,MNST,1.3093%
Archer Daniels Midland Co,ADM,1.1987%
Tyson Foods Inc,TSN,1.1723%
Hershey Co,HSY,1.1131%
Kroger Co,KR,1.0319%
Brown-Forman Corp,BF.B,1.0027%
McCormick & Company Inc,MKC,0.9635%
Clorox Co,CLX,0.9529%
Kraft Heinz Co,KHC,0.9433%
Church & Dwight Co Inc,CHD,0.8834%
Kellogg Co,K,0.8372%
Conagra Brands Inc,CAG,0.7714%
Hormel Foods Corp,HRL,0.668%
Lamb Weston Holdings Inc,LW,0.6404%
J M Smucker Co,SJM,0.567%
Molson Coors Beverage Co,TAP,0.508%
Cash Component,CASH,0.496%
US Foods Holding Corp,USFD,0.4247%
Campbell Soup Co,CPB,0.3857%
Bunge Ltd,BG,0.3566%
Post Holdings Inc,POST,0.35%
Ingredion Inc,INGR,0.2852%
Caseys General Stores Inc,CASY,0.2821%
Performance Food Group Co,PFGC,0.2614%
Darling Ingredients Inc,DAR,0.2148%
Herbalife Nutrition Ltd,HLF,0.1982%
Flowers Foods Inc,FLO,0.1968%
Boston Beer Company Inc,SAM,0.1515%
Energizer Holdings Inc,ENR,0.145%
Lancaster Colony Corp,LANC,0.1397%
Sanderson Farms Inc,SAFM,0.1317%
Spectrum Brands Holdings Inc,SPB,0.1305%
J & J Snack Foods Corp,JJSF,0.1234%
TreeHouse Foods Inc,THS,0.1209%
WD-40 Co,WDFC,0.1191%
BJ's Wholesale Club Holdings Inc,BJ,0.1145%
Hain Celestial Group Inc,HAIN,0.1093%
Freshpet Inc,FRPT,0.1002%
Simply Good Foods Co,SMPL,0.0952%
Sprouts Farmers Market Inc,SFM,0.0889%
NU Skin Enterprises Inc,NUS,0.0866%
Beyond Meat Inc,BYND,0.0821%
Hostess Brands Inc,TWNK,0.0777%
Pilgrims Pride Corp,PPC,0.0775%
Vector Group Ltd,VGR,0.074%
Coca-Cola Consolidated Inc,COKE,0.0719%
PriceSmart Inc,PSMT,0.0684%
Edgewell Personal Care Co,EPC,0.0672%
Universal Corp,UVV,0.065%
Calavo Growers Inc,CVGW,0.0611%
Central Garden & Pet Co,CENTA,0.0605%
Inter Parfums Inc,IPAR,0.0588%
Medifast Inc,MED,0.0565%
Cal-Maine Foods Inc,CALM,0.0531%
B&G Foods Inc,BGS,0.0503%
Fresh Del Monte Produce Inc,FDP,0.0484%
Chefs' Warehouse Inc,CHEF,0.0445%
USANA Health Sciences Inc,USNA,0.0393%
Grocery Outlet Holding Corp,GO,0.0348%
Andersons Inc,ANDE,0.0337%
John B Sanfilippo & Son Inc,JBSS,0.0314%
Tootsie Roll Industries Inc,TR,0.029%
Weis Markets Inc,WMK,0.0273%
Ingles Markets Inc,IMKTA,0.0266%
National Beverage Corp,FIZZ,0.0251%
Primo Water Corp,PRMW,0.024%
MGP Ingredients Inc,MGPI,0.0217%
SpartanNash Co,SPTN,0.0214%
United Natural Foods Inc,UNFI,0.0187%
Central Garden & Pet Co,CENT,0.0171%
e.l.f. Beauty Inc,ELF,0.0167%
Landec Corp,LNDC,0.0143%
Turning Point Brands Inc,TPB,0.0097%
Village Super Market Inc,VLGEA,0.0095%
Farmer Bros Co,FARM,0.0064%
