FTEC: Fidelity MSCI Information Technology Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	3436325
Shares Outstanding: 45700000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Information Technology Index
ETFdb.com Category: Technology Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FTEC


Holding,Symbol,Weighting
Apple Inc,AAPL,18.8008%
Microsoft Corp,MSFT,16.5971%
Visa Inc,V,4.6196%
Mastercard Inc,MA,3.8315%
Intel Corp,INTC,3.8068%
Cisco Systems Inc,CSCO,2.6432%
Adobe Inc,ADBE,2.288%
Salesforce.Com Inc,CRM,2.0364%
NVIDIA Corp,NVDA,1.8361%
Accenture PLC,ACN,1.7519%
International Business Machines Corp,IBM,1.7087%
PayPal Holdings Inc,PYPL,1.7083%
Oracle Corp,ORCL,1.6446%
Broadcom Inc,AVGO,1.6313%
Texas Instruments Inc,TXN,1.5113%
Qualcomm Inc,QCOM,1.3931%
Fidelity National Information Services Inc,FIS,1.1806%
Automatic Data Processing Inc,ADP,0.9982%
Intuit Inc,INTU,0.9768%
Fiserv Inc,FISV,0.9179%
ServiceNow Inc,NOW,0.8456%
Micron Technology Inc,MU,0.7865%
Global Payments Inc,GPN,0.7849%
Applied Materials Inc,AMAT,0.7187%
Advanced Micro Devices Inc,AMD,0.6512%
Cash Component,CASH,0.6015%
Autodesk Inc,ADSK,0.5759%
Lam Research Corp,LRCX,0.571%
Analog Devices Inc,ADI,0.5429%
Cognizant Technology Solutions Corp,CTSH,0.4554%
HP Inc,HPQ,0.4264%
TE Connectivity Ltd,TEL,0.4143%
Workday Inc,WDAY,0.4076%
Amphenol Corp,APH,0.3942%
Motorola Solutions Inc,MSI,0.3907%
Paychex Inc,PAYX,0.3718%
Fleetcor Technologies Inc,FLT,0.3605%
KLA Corp,KLAC,0.3526%
Square Inc,SQ,0.3436%
Splunk Inc,SPLK,0.3138%
Microchip Technology Inc,MCHP,0.3085%
ANSYS Inc,ANSS,0.3064%
Palo Alto Networks Inc,PANW,0.2997%
Synopsys Inc,SNPS,0.2982%
Verisign Inc,VRSN,0.2934%
Xilinx Inc,XLNX,0.2853%
Corning Inc,GLW,0.2804%
Cadence Design Systems Inc,CDNS,0.2704%
Western Digital Corp,WDC,0.2596%
Skyworks Solutions Inc,SWKS,0.2588%
CDW Corp,CDW,0.2533%
Hewlett Packard Enterprise Co,HPE,0.2449%
NortonLifeLock Inc,NLOK,0.2366%
Keysight Technologies Inc,KEYS,0.2349%
Fortinet Inc,FTNT,0.224%
Maxim Integrated Products Inc,MXIM,0.2191%
Citrix Systems Inc,CTXS,0.2128%
Paycom Software Inc,PAYC,0.2115%
Akamai Technologies Inc,AKAM,0.2061%
Marvell Technology Group Ltd,MRVL,0.2033%
RingCentral Inc,RNG,0.1968%
SS&C Technologies Holdings Inc,SSNC,0.1927%
Gartner Inc,IT,0.1924%
Twilio Inc,TWLO,0.1918%
Seagate Technology PLC,STX,0.1849%
Leidos Holdings Inc,LDOS,0.1817%
Broadridge Financial Solutions Inc,BR,0.1806%
Okta Inc,OKTA,0.1805%
Zebra Technologies Corp,ZBRA,0.1716%
NetApp Inc,NTAP,0.1704%
Qorvo Inc,QRVO,0.1661%
Epam Systems Inc,EPAM,0.1638%
Tyler Technologies Inc,TYL,0.1636%
VMware Inc,VMW,0.1614%
Arista Networks Inc,ANET,0.1604%
GoDaddy Inc,GDDY,0.1591%
Jack Henry & Associates Inc,JKHY,0.1551%
Western Union Co,WU,0.1531%
Teradyne Inc,TER,0.1509%
Fair Isaac Corp,FICO,0.1498%
Booz Allen Hamilton Holding Corp,BAH,0.1453%
Trimble Inc,TRMB,0.1436%
Black Knight Inc,BKI,0.1353%
Trade Desk Inc,TTD,0.1289%
Zendesk Inc,ZEN,0.1287%
ON Semiconductor Corp,ON,0.1274%
Coupa Software Inc,COUP,0.1243%
Guidewire Software Inc,GWRE,0.1227%
PTC Inc,PTC,0.1216%
WEX Inc,WEX,0.1212%
Cognex Corp,CGNX,0.1166%
Cypress Semiconductor Corp,CY,0.116%
Euronet Worldwide Inc,EEFT,0.1132%
DXC Technology Co,DXC,0.1119%
DocuSign Inc,DOCU,0.1086%
Aspen Technology Inc,AZPN,0.1076%
Juniper Networks Inc,JNPR,0.1068%
Dell Technologies Inc,DELL,0.1025%
Universal Display Corp,OLED,0.0984%
F5 Networks Inc,FFIV,0.0974%
HubSpot Inc,HUBS,0.0962%
Xerox Holdings Corp,XRX,0.0946%
Entegris Inc,ENTG,0.0936%
FLIR Systems Inc,FLIR,0.0932%
Alteryx Inc,AYX,0.0927%
Proofpoint Inc,PFPT,0.0915%
MongoDB Inc,MDB,0.0915%
Monolithic Power Systems Inc,MPWR,0.091%
Flex Ltd,FLEX,0.0909%
CDK Global Inc,CDK,0.0871%
CACI International Inc,CACI,0.0854%
Arrow Electronics Inc,ARW,0.0848%
Ciena Corp,CIEN,0.0844%
Sabre Corp,SABR,0.0791%
SYNNEX Corp,SNX,0.0769%
Lumentum Holdings Inc,LITE,0.0766%
Anaplan Inc,PLAN,0.0766%
MKS Instruments Inc,MKSI,0.0753%
National Instruments Corp,NATI,0.0748%
Mellanox Technologies Ltd,MLNX,0.074%
Nuance Communications Inc,NUAN,0.0735%
Manhattan Associates Inc,MANH,0.0727%
Jabil Inc,JBL,0.0714%
Tech Data Corp,TECD,0.0689%
Nutanix Inc,NTNX,0.0682%
Cree Inc,CREE,0.0668%
Paylocity Holding Corp,PCTY,0.0642%
RealPage Inc,RP,0.0621%
Maximus Inc,MMS,0.0611%
IPG Photonics Corp,IPGP,0.0611%
Science Applications International Corp,SAIC,0.0607%
Alliance Data Systems Corp,ADS,0.0601%
Cirrus Logic Inc,CRUS,0.0592%
Dolby Laboratories Inc,DLB,0.059%
j2 Global Inc,JCOM,0.0586%
Smartsheet Inc,SMAR,0.058%
Five9 Inc,FIVN,0.0572%
Littelfuse Inc,LFUS,0.0565%
Perspecta Inc,PRSP,0.0552%
Silicon Laboratories Inc,SLAB,0.0549%
LogMeIn Inc,LOGM,0.0549%
Dropbox Inc,DBX,0.0548%
Solaredge Technologies Inc,SEDG,0.0547%
NCR Corp,NCR,0.0547%
Envestnet Inc,ENV,0.0545%
Cabot Microelectronics Corp,CCMP,0.0542%
ACI Worldwide Inc,ACIW,0.0541%
Pure Storage Inc,PSTG,0.054%
First Solar Inc,FSLR,0.0527%
KBR Inc,KBR,0.0514%
Verint Systems Inc,VRNT,0.0509%
Corelogic Inc,CLGX,0.0507%
Avnet Inc,AVT,0.0505%
Blackbaud Inc,BLKB,0.05%
Q2 Holdings Inc,QTWO,0.0487%
Zscaler Inc,ZS,0.0477%
FireEye Inc,FEYE,0.0459%
Pegasystems Inc,PEGA,0.0459%
Coherent Inc,COHR,0.0451%
New Relic Inc,NEWR,0.0439%
Viavi Solutions Inc,VIAV,0.0424%
Semtech Corp,SMTC,0.0423%
Anixter International Inc,AXE,0.0415%
Novanta Inc,NOVT,0.041%
Ceridian HCM Holding Inc,CDAY,0.0409%
Cornerstone OnDemand Inc,CSOD,0.0407%
Inphi Corp,IPHI,0.0404%
Itron Inc,ITRI,0.0391%
Qualys Inc,QLYS,0.0388%
Everbridge Inc,EVBG,0.0386%
II-VI Inc,IIVI,0.0376%
Teradata Corp,TDC,0.0369%
Brooks Automation Inc,BRKS,0.0365%
Power Integrations Inc,POWI,0.0364%
Vishay Intertechnology Inc,VSH,0.0362%
Enphase Energy Inc,ENPH,0.036%
Advanced Energy Industries Inc,AEIS,0.0353%
Liveramp Holdings Inc,RAMP,0.0353%
ViaSat Inc,VSAT,0.0339%
LivePerson Inc,LPSN,0.0338%
Varonis Systems Inc,VRNS,0.0334%
Rapid7 Inc,RPD,0.0332%
Exlservice Holdings Inc,EXLS,0.0331%
Mimecast Ltd,MIME,0.0326%
CommScope Holding Company Inc,COMM,0.0318%
Insight Enterprises Inc,NSIT,0.0315%
Bottomline Technologies (DE) Inc,EPAY,0.0314%
Lattice Semiconductor Corp,LSCC,0.0312%
Blackline Inc,BL,0.0309%
Cloudera Inc,CLDR,0.0304%
Fabrinet,FN,0.0302%
Belden Inc,BDC,0.0301%
Sanmina Corp,SANM,0.0296%
Avaya Holdings Corp,AVYA,0.0295%
Acacia Communications Inc,ACIA,0.0292%
Diodes Inc,DIOD,0.0288%
Pros Holdings Inc,PRO,0.0287%
Plexus Corp,PLXS,0.0284%
