IYE: iShares U.S. Energy ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	510122
Shares Outstanding: 17900000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Oil & Gas Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,23.6297%
Chevron Corp,CVX,18.2132%
ConocoPhillips,COP,5.8626%
Schlumberger NV,SLB,4.1707%
EOG Resources Inc,EOG,3.8134%
Kinder Morgan Inc,KMI,3.6547%
Phillips 66,PSX,3.6502%
Occidental Petroleum Corp,OXY,3.19%
Marathon Petroleum Corp,MPC,3.1815%
Valero Energy Corp,VLO,3.1126%
ONEOK Inc,OKE,2.7805%
Williams Companies Inc,WMB,2.2545%
Pioneer Natural Resources Co,PXD,2.0105%
Halliburton Co,HAL,1.7212%
Concho Resources Inc,CXO,1.3695%
Hess Corp,HES,1.3172%
Baker Hughes Co,BKR,1.2655%
Cheniere Energy Inc,LNG,1.2347%
Diamondback Energy Inc,FANG,1.0779%
Apache Corp,APA,0.9276%
Noble Energy Inc,NBL,0.8501%
OGE Energy Corp,OGE,0.8252%
Marathon Oil Corp,MRO,0.8177%
Targa Resources Corp,TRGP,0.7639%
Devon Energy Corp,DVN,0.7557%
National Oilwell Varco Inc,NOV,0.7149%
TechnipFMC PLC,FTI,0.6238%
HollyFrontier Corp,HFC,0.5996%
Cabot Oil & Gas Corp,COG,0.5167%
Parsley Energy Inc,PE,0.462%
WPX Energy Inc,WPX,0.4477%
Cimarex Energy Co,XEC,0.4017%
Helmerich and Payne Inc,HP,0.3953%
Encana Corp,OVV,0.3661%
First Solar Inc,FSLR,0.3383%
Murphy Oil Corp,MUR,0.2815%
PBF Energy Inc,PBF,0.2499%
Transocean Ltd,RIG,0.2356%
World Fuel Services Corp,INT,0.2298%
Cash Component,CASH,0.2288%
Continental Resources Inc,CLR,0.2091%
Delek US Holdings Inc,DK,0.1839%
Apergy Corp,APY,0.1799%
Equitrans Midstream Corp,ETRN,0.1772%
Matador Resources Co,MTDR,0.1445%
Core Laboratories NV,CLB,0.14%
EQT Corp,EQT,0.1395%
Patterson-UTI Energy Inc,PTEN,0.1394%
CVR Energy Inc,CVI,0.0907%
Chesapeake Energy Corp,CHK,0.0541%
