IYF: iShares U.S. Financials ETF
Inception Date: 2000-05-31
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	1807481
Shares Outstanding: 13200000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Financials Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYF


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,7.5532%
JPMorgan Chase & Co,JPM,7.1429%
Visa Inc,V,5.8603%
Mastercard Inc,MA,4.7664%
Bank of America Corp,BAC,4.3283%
Wells Fargo & Co,WFC,3.1194%
Citigroup Inc,C,2.805%
American Tower Corp,AMT,1.7724%
American Express Co,AXP,1.5046%
CME Group Inc,CME,1.3435%
Goldman Sachs Group Inc,GS,1.3083%
U.S. Bancorp,USB,1.3062%
S&P Global Inc,SPGI,1.2397%
Truist Financial Corp,TFC,1.1943%
Chubb Ltd,CB,1.1896%
PNC Financial Services Group Inc,PNC,1.1231%
Morgan Stanley,MS,1.1102%
Crown Castle International Corp,CCI,1.076%
BlackRock Inc,BLK,1.0731%
Prologis Inc,PLD,1.0135%
Marsh & McLennan Companies Inc,MMC,0.9751%
Intercontinental Exchange Inc,ICE,0.959%
Charles Schwab Corp,SCHW,0.8996%
Aon PLC,AON,0.8904%
Equinix Inc,EQIX,0.8684%
Progressive Corp,PGR,0.8145%
Capital One Financial Corp,COF,0.8025%
American International Group Inc,AIG,0.755%
Moody's Corp,MCO,0.7199%
Simon Property Group Inc,SPG,0.7055%
Blackstone Group Inc,BX,0.6953%
MetLife Inc,MET,0.6709%
Allstate Corp,ALL,0.6631%
Aflac Inc,AFL,0.6536%
Bank of New York Mellon Corp,BK,0.6489%
Prudential Financial Inc,PRU,0.6321%
Welltower Inc,WELL,0.5949%
Travelers Companies Inc,TRV,0.5866%
Public Storage,PSA,0.5804%
T. Rowe Price Group Inc,TROW,0.5388%
AvalonBay Communities Inc,AVB,0.5225%
Equity Residential,EQR,0.5008%
SBA Communications Corp,SBAC,0.4852%
State Street Corp,STT,0.4748%
Willis Towers Watson PLC,WLTW,0.4691%
Digital Realty Trust Inc,DLR,0.4432%
Realty Income Corp,O,0.4413%
MSCI Inc,MSCI,0.418%
CoStar Group Inc,CSGP,0.4131%
Discover Financial Services,DFS,0.4066%
M&T Bank Corp,MTB,0.384%
Weyerhaeuser Co,WY,0.3725%
Ventas Inc,VTR,0.3724%
Hartford Financial Services Group Inc,HIG,0.3689%
Ameriprise Financial Inc,AMP,0.3619%
Northern Trust Corp,NTRS,0.3578%
Boston Properties Inc,BXP,0.3559%
Essex Property Trust Inc,ESS,0.3535%
CBRE Group Inc,CBRE,0.3529%
Fifth Third Bancorp,FITB,0.3486%
Alexandria Real Estate Equities Inc,ARE,0.3459%
Synchrony Financial,SYF,0.3327%
Arthur J Gallagher & Co,AJG,0.3305%
First Republic Bank,FRC,0.3227%
KeyCorp,KEY,0.3183%
Arch Capital Group Ltd,ACGL,0.3092%
Healthpeak Properties Inc,PEAK,0.3077%
Invitation Homes Inc,INVH,0.2927%
Markel Corp,MKL,0.2801%
Citizens Financial Group Inc,CFG,0.28%
Cincinnati Financial Corp,CINF,0.2745%
Mid-America Apartment Communities Inc,MAA,0.2705%
Sun Communities Inc,SUI,0.2598%
Regions Financial Corp,RF,0.2596%
WP Carey Inc,WPC,0.2505%
Extra Space Storage Inc,EXR,0.2478%
UDR Inc,UDR,0.2427%
Huntington Bancshares Inc,HBAN,0.2424%
Annaly Capital Management Inc,NLY,0.2413%
Cboe Global Markets Inc,CBOE,0.2366%
Principal Financial Group Inc,PFG,0.2363%
Marketaxess Holdings Inc,MKTX,0.2323%
Fidelity National Financial Inc,FNF,0.2319%
Nasdaq Inc,NDAQ,0.2309%
Duke Realty Corp,DRE,0.2308%
Equity LifeStyle Properties Inc,ELS,0.2291%
Loews Corp,L,0.2276%
TD Ameritrade Holding Corp,AMTD,0.2175%
SVB Financial Group,SIVB,0.2144%
Ally Financial Inc,ALLY,0.2106%
Host Hotels & Resorts Inc,HST,0.2027%
Alleghany Corp,Y,0.1988%
Medical Properties Trust Inc,MPW,0.1983%
Everest Re Group Ltd,RE,0.1955%
Raymond James Financial Inc,RJF,0.1954%
Factset Research Systems Inc,FDS,0.188%
Camden Property Trust,CPT,0.1874%
Lincoln National Corp,LNC,0.1867%
W. R. Berkley Corp,WRB,0.1847%
Equitable Holdings Inc,EQH,0.1838%
Brown & Brown Inc,BRO,0.1812%
Vornado Realty Trust,VNO,0.1804%
VEREIT Inc,VER,0.1804%
Globe Life Inc,GL,0.1801%
Regency Centers Corp,REG,0.1793%
AGNC Investment Corp,AGNC,0.174%
Liberty Property Trust,LPT,0.1709%
VICI Properties Inc,VICI,0.1679%
Gaming and Leisure Properties Inc,GLPI,0.1668%
E*TRADE Financial Corp,ETFC,0.1664%
National Retail Properties Inc,NNN,0.166%
Omega Healthcare Investors Inc,OHI,0.1588%
Cash Component,CASH,0.1575%
Iron Mountain Inc,IRM,0.1569%
Reinsurance Group of America Inc,RGA,0.1561%
Comerica Inc,CMA,0.1528%
Federal Realty Investment Trust,FRT,0.1522%
Jones Lang LaSalle Inc,JLL,0.1518%
STORE Capital Corp,STOR,0.1454%
Renaissancere Holdings Ltd,RNR,0.1444%
SEI Investments Co,SEIC,0.1425%
American Financial Group Inc,AFG,0.1412%
Voya Financial Inc,VOYA,0.1398%
Kilroy Realty Corp,KRC,0.1397%
Kimco Realty Corp,KIM,0.1392%
Lamar Advertising Co,LAMR,0.1378%
Assurant Inc,AIZ,0.1368%
Apartment Investment and Management Co,AIV,0.1361%
Zions Bancorporation NA,ZION,0.1345%
Signature Bank,SBNY,0.1329%
SL Green Realty Corp,SLG,0.1296%
LPL Financial Holdings Inc,LPLA,0.1292%
Starwood Property Trust Inc,STWD,0.1249%
Franklin Resources Inc,BEN,0.122%
Commerce Bancshares Inc,CBSH,0.1211%
First American Financial Corp,FAF,0.1209%
New Residential Investment Corp,NRZ,0.1208%
American Homes 4 Rent,AMH,0.1201%
CyrusOne Inc,CONE,0.1196%
Douglas Emmett Inc,DEI,0.1188%
People's United Financial Inc,PBCT,0.1188%
East West Bancorp Inc,EWBC,0.1159%
Healthcare Trust Of America Inc,HTA,0.1154%
Prosperity Bancshares Inc,PB,0.1151%
Americold Realty Trust,COLD,0.1149%
TCF Financial Corp,TCF,0.1128%
Invesco Ltd,IVZ,0.1118%
Old Republic International Corp,ORI,0.111%
American Campus Communities Inc,ACC,0.1086%
CubeSmart,CUBE,0.1065%
Cousins Properties Inc,CUZ,0.1038%
Credit Acceptance Corp,CACC,0.103%
Brixmor Property Group Inc,BRX,0.103%
EPR Properties,EPR,0.0974%
Hudson Pacific Properties Inc,HPP,0.0973%
Unum Group,UNM,0.0953%
Hanover Insurance Group Inc,THG,0.0947%
First Industrial Realty Trust Inc,FR,0.0934%
Popular Inc,BPOP,0.0934%
AXIS Capital Holdings Ltd,AXS,0.0932%
Rexford Industrial Realty Inc,REXR,0.093%
Park Hotels & Resorts Inc,PK,0.0911%
Life Storage Inc,LSI,0.091%
Eastgroup Properties Inc,EGP,0.091%
Howard Hughes Corp,HHC,0.0909%
Spirit Realty Capital Inc,SRC,0.0907%
Athene Holding Ltd,ATH,0.09%
Highwoods Properties Inc,HIW,0.0899%
Western Alliance Bancorp,WAL,0.0899%
Eaton Vance Corp,EV,0.0893%
Synovus Financial Corp,SNV,0.0893%
New York Community Bancorp Inc,NYCB,0.0892%
