IYH: iShares U.S. Healthcare ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	2205672
Shares Outstanding: 10500000
Expense Ratio: 0.43%
Tracks This Index: Dow Jones U.S. Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYH


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,9.79%
UnitedHealth Group Inc,UNH,6.4497%
Merck & Co Inc,MRK,5.4353%
Pfizer Inc,PFE,5.1495%
Medtronic PLC,MDT,3.8663%
Abbott Laboratories,ABT,3.8482%
Bristol-Myers Squibb Co,BMY,3.6872%
Amgen Inc,AMGN,3.2076%
Thermo Fisher Scientific Inc,TMO,3.138%
Abbvie Inc,ABBV,2.9938%
Eli Lilly and Co,LLY,2.948%
Danaher Corp,DHR,2.5696%
CVS Health Corp,CVS,2.2046%
Gilead Sciences Inc,GILD,1.9979%
Becton Dickinson and Co,BDX,1.8597%
Cigna Corp,CI,1.795%
Stryker Corp,SYK,1.6952%
Anthem Inc,ANTM,1.6807%
Intuitive Surgical Inc,ISRG,1.6165%
Zoetis Inc,ZTS,1.5973%
Allergan plc,AGN,1.5309%
Vertex Pharmaceuticals Inc,VRTX,1.4589%
Boston Scientific Corp,BSX,1.4582%
Biogen Inc,BIIB,1.2122%
Edwards Lifesciences Corp,EW,1.1458%
Baxter International Inc,BAX,1.1382%
Humana Inc,HUM,1.1126%
Illumina Inc,ILMN,1.0654%
HCA Healthcare Inc,HCA,0.9175%
Centene Corp,CNC,0.9162%
Zimmer Biomet Holdings Inc,ZBH,0.7601%
IQVIA Holdings Inc,IQV,0.7%
Regeneron Pharmaceuticals Inc,REGN,0.6745%
McKesson Corp,MCK,0.6421%
Agilent Technologies Inc,A,0.6384%
IDEXX Laboratories Inc,IDXX,0.5809%
Resmed Inc,RMD,0.5711%
Alexion Pharmaceuticals Inc,ALXN,0.5496%
DexCom Inc,DXCM,0.5485%
Mettler-Toledo International Inc,MTD,0.4608%
Align Technology Inc,ALGN,0.4607%
Cooper Companies Inc,COO,0.4298%
Teleflex Inc,TFX,0.4298%
Laboratory Corporation of America Holdings,LH,0.4257%
Biomarin Pharmaceutical Inc,BMRN,0.3749%
Quest Diagnostics Inc,DGX,0.3727%
Waters Corp,WAT,0.3605%
Hologic Inc,HOLX,0.3588%
Incyte Corp,INCY,0.3267%
Exact Sciences Corp,EXAS,0.3264%
Alnylam Pharmaceuticals Inc,ALNY,0.3201%
Varian Medical Systems Inc,VAR,0.3196%
Steris plc,STE,0.3196%
Dentsply Sirona Inc,XRAY,0.3115%
Seattle Genetics Inc,SGEN,0.3113%
Insulet Corp,PODD,0.3%
West Pharmaceutical Services Inc,WST,0.2886%
Elanco Animal Health Inc,ELAN,0.2881%
Mylan NV,MYL,0.2762%
Universal Health Services Inc,UHS,0.2754%
Henry Schein Inc,HSIC,0.253%
Cash Component,CASH,0.2366%
Neurocrine Biosciences Inc,NBIX,0.2306%
Catalent Inc,CTLT,0.2231%
Abiomed Inc,ABMD,0.2097%
Masimo Corp,MASI,0.2092%
Sarepta Therapeutics Inc,SRPT,0.2047%
Jazz Pharmaceuticals PLC,JAZZ,0.2029%
Bio-Techne Corp,TECH,0.1998%
Bio Rad Laboratories Inc,BIO,0.1951%
Perrigo Company PLC,PRGO,0.194%
Molina Healthcare Inc,MOH,0.1918%
Encompass Health Corp,EHC,0.19%
Charles River Laboratories International Inc,CRL,0.1886%
Chemed Corp,CHE,0.187%
Ionis Pharmaceuticals Inc,IONS,0.1864%
Teladoc Health Inc,TDOC,0.1843%
DaVita Inc,DVA,0.1791%
Hill-Rom Holdings Inc,HRC,0.1779%
Horizon Therapeutics PLC,HZNP,0.1608%
PRA Health Sciences Inc,PRAH,0.1603%
Amedisys Inc,AMED,0.1421%
Penumbra Inc,PEN,0.1405%
Haemonetics Corp,HAE,0.1354%
Exelixis Inc,EXEL,0.1303%
Bruker Corp,BRKR,0.1254%
Repligen Corp,RGEN,0.1177%
HealthEquity Inc,HQY,0.1169%
ACADIA Pharmaceuticals Inc,ACAD,0.1123%
bluebird bio Inc,BLUE,0.1102%
United Therapeutics Corp,UTHR,0.1064%
Moderna Inc,MRNA,0.1053%
Avantor Inc,AVTR,0.103%
NuVasive Inc,NUVA,0.1007%
Globus Medical Inc,GMED,0.1002%
Integra Lifesciences Holdings Corp,IART,0.0977%
Syneos Health Inc,SYNH,0.0952%
Neogen Corp,NEOG,0.0881%
Nektar Therapeutics,NKTR,0.0874%
ICU Medical Inc,ICUI,0.087%
SAGE Therapeutics Inc,SAGE,0.0856%
Immunomedics Inc,IMMU,0.0853%
LivaNova PLC,LIVN,0.0825%
Tenet Healthcare Corp,THC,0.0822%
FibroGen Inc,FGEN,0.0822%
Blueprint Medicines Corp,BPMC,0.0782%
Guardant Health Inc,GH,0.0768%
Agios Pharmaceuticals Inc,AGIO,0.072%
Ultragenyx Pharmaceutical Inc,RARE,0.0715%
Acadia Healthcare Company Inc,ACHC,0.0714%
Alkermes Plc,ALKS,0.0685%
Cantel Medical Corp,CMD,0.061%
Intercept Pharmaceuticals Inc,ICPT,0.0578%
Premier Inc,PINC,0.0578%
Myriad Genetics Inc,MYGN,0.0509%
MEDNAX Inc,MD,0.0482%
Avanos Medical Inc,AVNS,0.0332%
Covetrus Inc,CVET,0.0296%
Allogene Therapeutics Inc,ALLO,0.0276%
Portola Pharmaceuticals Inc,PTLA,0.0224%
