IYK: iShares U.S. Consumer Goods ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	524438
Shares Outstanding: 3900000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Consumer Goods Index
ETFdb.com Category: Consumer Staples Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYK


Holding,Symbol,Weighting
Procter & Gamble Co,PG,13.042%
Coca-Cola Co,KO,9.4503%
PepsiCo Inc,PEP,8.3107%
Philip Morris International Inc,PM,5.3997%
Nike Inc,NKE,5.0355%
Tesla Inc,TSLA,3.8875%
Altria Group Inc,MO,3.7262%
Mondelez International Inc,MDLZ,3.4671%
Colgate-Palmolive Co,CL,2.6536%
Kimberly-Clark Corp,KMB,2.0606%
Activision Blizzard Inc,ATVI,1.8854%
Estee Lauder Companies Inc,EL,1.8227%
General Motors Co,GM,1.7618%
Ford Motor Co,F,1.4413%
General Mills Inc,GIS,1.3245%
Constellation Brands Inc,STZ,1.3236%
Electronic Arts Inc,EA,1.3223%
Lululemon Athletica Inc,LULU,1.2041%
VF Corp,VFC,1.1403%
Monster Beverage Corp,MNST,1.067%
Archer Daniels Midland Co,ADM,1.0457%
Tyson Foods Inc,TSN,1.0236%
Stanley Black & Decker Inc,SWK,1.0164%
Hershey Co,HSY,0.9657%
Aptiv PLC,APTV,0.9084%
McCormick & Company Inc,MKC,0.8472%
D.R. Horton Inc,DHI,0.8331%
Clorox Co,CLX,0.8285%
Lennar Corp,LEN,0.7794%
Church & Dwight Co Inc,CHD,0.7643%
Kraft Heinz Co,KHC,0.7632%
Kellogg Co,K,0.7127%
Conagra Brands Inc,CAG,0.6723%
Take-Two Interactive Software Inc,TTWO,0.592%
Genuine Parts Co,GPC,0.5705%
Lamb Weston Holdings Inc,LW,0.5597%
NVR Inc,NVR,0.5568%
Hormel Foods Corp,HRL,0.5515%
Hasbro Inc,HAS,0.544%
Brown-Forman Corp,BF.B,0.5172%
J M Smucker Co,SJM,0.4961%
PulteGroup Inc,PHM,0.4774%
Molson Coors Beverage Co,TAP,0.4376%
Whirlpool Corp,WHR,0.3878%
US Foods Holding Corp,USFD,0.3701%
Pool Corp,POOL,0.3688%
Campbell Soup Co,CPB,0.3433%
Mohawk Industries Inc,MHK,0.3288%
Keurig Dr Pepper Inc,KDP,0.32%
Gentex Corp,GNTX,0.3164%
Newell Brands Inc,NWL,0.3123%
Bunge Ltd,BG,0.3115%
Tapestry Inc,TPR,0.2987%
BorgWarner Inc,BWA,0.2971%
Post Holdings Inc,POST,0.292%
WABCO Holdings Inc,WBC,0.2918%
Lear Corp,LEA,0.2847%
PVH Corp,PVH,0.2712%
Leggett & Platt Inc,LEG,0.2625%
Performance Food Group Co,PFGC,0.2545%
Autoliv Inc,ALV,0.2525%
Ingredion Inc,INGR,0.2466%
Toll Brothers Inc,TOL,0.2407%
Zynga Inc,ZNGA,0.2385%
Ralph Lauren Corp,RL,0.2364%
Cash Component,CASH,0.2331%
Jefferies Financial Group Inc,JEF,0.2291%
Deckers Outdoor Corp,DECK,0.2237%
Polaris Inc,PII,0.2216%
Harley-Davidson Inc,HOG,0.2158%
Brunswick Corp,BC,0.2147%
Mattel Inc,MAT,0.2124%
Skechers USA Inc,SKX,0.21%
HanesBrands Inc,HBI,0.209%
Helen of Troy Ltd,HELE,0.1994%
Carter's Inc,CRI,0.1961%
Capri Holdings Ltd,CPRI,0.1907%
Darling Ingredients Inc,DAR,0.1867%
Thor Industries Inc,THO,0.1862%
Tempur Sealy International Inc,TPX,0.1743%
Flowers Foods Inc,FLO,0.174%
Under Armour Inc,UAA,0.1594%
Herbalife Nutrition Ltd,HLF,0.151%
Under Armour Inc,UA,0.1465%
Boston Beer Company Inc,SAM,0.1377%
Lancaster Colony Corp,LANC,0.1286%
Goodyear Tire & Rubber Co,GT,0.1283%
Coty Inc,COTY,0.127%
Steven Madden Ltd,SHOO,0.1256%
Energizer Holdings Inc,ENR,0.1245%
Spectrum Brands Holdings Inc,SPB,0.1199%
Columbia Sportswear Co,COLM,0.1146%
Wolverine World Wide Inc,WWW,0.1072%
TreeHouse Foods Inc,THS,0.1053%
Herman Miller Inc,MLHR,0.0959%
Adient PLC,ADNT,0.0937%
Dana Inc,DAN,0.0931%
Hain Celestial Group Inc,HAIN,0.0812%
NU Skin Enterprises Inc,NUS,0.0762%
Pilgrims Pride Corp,PPC,0.0569%
Veoneer Inc,VNE,0.0546%
Beyond Meat Inc,BYND,0.0489%
Seaboard Corp,SEB,0.0419%
Levi Strauss & Co,LEVI,0.0346%
Lennar Corp,LEN.B,0.0339%
National Beverage Corp,FIZZ,0.0209%
