IYW: iShares U.S. Technology ETF
Inception Date: 2000-05-19
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	5001353
Shares Outstanding: 20650000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Technology Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYW


Holding,Symbol,Weighting
Microsoft Corp,MSFT,18.0094%
Apple Inc,AAPL,17.9278%
Alphabet Inc,GOOGL,5.2013%
Alphabet Inc,GOOG,5.1939%
Intel Corp,INTC,4.2206%
Facebook Inc,FB,4.1407%
Cisco Systems Inc,CSCO,2.9595%
Adobe Inc,ADBE,2.5796%
Salesforce.Com Inc,CRM,2.454%
NVIDIA Corp,NVDA,2.1958%
International Business Machines Corp,IBM,1.9317%
Broadcom Inc,AVGO,1.837%
Oracle Corp,ORCL,1.7245%
Texas Instruments Inc,TXN,1.7115%
Qualcomm Inc,QCOM,1.4783%
Intuit Inc,INTU,1.1076%
ServiceNow Inc,NOW,0.968%
Micron Technology Inc,MU,0.8919%
Applied Materials Inc,AMAT,0.8129%
Advanced Micro Devices Inc,AMD,0.7943%
Autodesk Inc,ADSK,0.6573%
Lam Research Corp,LRCX,0.6566%
Analog Devices Inc,ADI,0.6134%
Cognizant Technology Solutions Corp,CTSH,0.5101%
HP Inc,HPQ,0.4795%
Motorola Solutions Inc,MSI,0.4602%
Workday Inc,WDAY,0.4595%
KLA Corp,KLAC,0.3969%
eBay Inc,EBAY,0.3895%
Twitter Inc,TWTR,0.3827%
Splunk Inc,SPLK,0.3636%
ANSYS Inc,ANSS,0.3563%
Microchip Technology Inc,MCHP,0.3535%
Palo Alto Networks Inc,PANW,0.349%
Cerner Corp,CERN,0.3424%
Synopsys Inc,SNPS,0.3365%
Verisign Inc,VRSN,0.3264%
Xilinx Inc,XLNX,0.3224%
Cadence Design Systems Inc,CDNS,0.3071%
Western Digital Corp,WDC,0.2956%
Veeva Systems Inc,VEEV,0.2927%
Skyworks Solutions Inc,SWKS,0.2926%
CDW Corp,CDW,0.2844%
Hewlett Packard Enterprise Co,HPE,0.2736%
IAC/InterActiveCorp,IAC,0.268%
Fortinet Inc,FTNT,0.2485%
NortonLifeLock Inc,NLOK,0.2473%
Maxim Integrated Products Inc,MXIM,0.2469%
Marvell Technology Group Ltd,MRVL,0.2433%
Paycom Software Inc,PAYC,0.2369%
Twilio Inc,TWLO,0.2351%
RingCentral Inc,RNG,0.2339%
Akamai Technologies Inc,AKAM,0.2299%
Citrix Systems Inc,CTXS,0.2252%
Snap Inc,SNAP,0.2191%
Okta Inc,OKTA,0.2184%
Gartner Inc,IT,0.2183%
Garmin Ltd,GRMN,0.2126%
SS&C Technologies Holdings Inc,SSNC,0.2102%
Centurylink Inc,CTL,0.2034%
Leidos Holdings Inc,LDOS,0.2027%
Seagate Technology PLC,STX,0.2%
Tyler Technologies Inc,TYL,0.1915%
Epam Systems Inc,EPAM,0.1904%
Qorvo Inc,QRVO,0.1861%
NetApp Inc,NTAP,0.185%
Arista Networks Inc,ANET,0.1838%
GoDaddy Inc,GDDY,0.1805%
VMware Inc,VMW,0.1772%
Fair Isaac Corp,FICO,0.1769%
Teradyne Inc,TER,0.1674%
Booz Allen Hamilton Holding Corp,BAH,0.1663%
Trade Desk Inc,TTD,0.1627%
Coupa Software Inc,COUP,0.1537%
DocuSign Inc,DOCU,0.1489%
Amdocs Ltd,DOX,0.1484%
Zendesk Inc,ZEN,0.1471%
ON Semiconductor Corp,ON,0.1443%
Guidewire Software Inc,GWRE,0.141%
PTC Inc,PTC,0.1311%
Cypress Semiconductor Corp,CY,0.1308%
Zayo Group Holdings Inc,ZAYO,0.1249%
DXC Technology Co,DXC,0.1239%
Aspen Technology Inc,AZPN,0.1234%
Juniper Networks Inc,JNPR,0.1165%
Dell Technologies Inc,DELL,0.1148%
Universal Display Corp,OLED,0.1134%
F5 Networks Inc,FFIV,0.1127%
Ceridian HCM Holding Inc,CDAY,0.1121%
