VDC: Vanguard Consumer Staples ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	5577399
Shares Outstanding: 34761000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Staples 25/50 Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VDC


Holding,Symbol,Weighting
Procter & Gamble Co,PG,14.782%
Coca-Cola Co,KO,11.1522%
PepsiCo Inc,PEP,9.2975%
Walmart Inc,WMT,7.6293%
Costco Wholesale Corp,COST,4.4024%
Philip Morris International Inc,PM,4.3399%
Mondelez International Inc,MDLZ,4.3%
Altria Group Inc,MO,4.0027%
Colgate-Palmolive Co,CL,3.0183%
Kimberly-Clark Corp,KMB,2.5068%
Estee Lauder Companies Inc,EL,2.1748%
Walgreens Boots Alliance Inc,WBA,2.1563%
Sysco Corp,SYY,2.144%
Constellation Brands Inc,STZ,1.582%
General Mills Inc,GIS,1.5518%
Monster Beverage Corp,MNST,1.3598%
Archer Daniels Midland Co,ADM,1.3056%
Tyson Foods Inc,TSN,1.2463%
Kroger Co,KR,1.2087%
Hershey Co,HSY,1.1644%
Brown-Forman Corp,BF.B,1.064%
Clorox Co,CLX,1.0196%
McCormick & Company Inc,MKC,1.0141%
Church & Dwight Co Inc,CHD,0.9881%
Kraft Heinz Co,KHC,0.9871%
Kellogg Co,K,0.9029%
Conagra Brands Inc,CAG,0.8552%
Hormel Foods Corp,HRL,0.7234%
Lamb Weston Holdings Inc,LW,0.7057%
J M Smucker Co,SJM,0.607%
Molson Coors Beverage Co,TAP,0.5515%
US Foods Holding Corp,USFD,0.4677%
Campbell Soup Co,CPB,0.4644%
Bunge Ltd,BG,0.4%
Freshpet Inc,FRPT,0.3903%
Post Holdings Inc,POST,0.365%
Caseys General Stores Inc,CASY,0.3529%
Ingredion Inc,INGR,0.3335%
Darling Ingredients Inc,DAR,0.3219%
Performance Food Group Co,PFGC,0.3189%
Herbalife Nutrition Ltd,HLF,0.2712%
Flowers Foods Inc,FLO,0.2383%
Boston Beer Company Inc,SAM,0.2221%
Sanderson Farms Inc,SAFM,0.2128%
WD-40 Co,WDFC,0.2049%
Spectrum Brands Holdings Inc,SPB,0.2006%
Lancaster Colony Corp,LANC,0.1966%
Energizer Holdings Inc,ENR,0.1926%
Coty Inc,COTY,0.1821%
J & J Snack Foods Corp,JJSF,0.1778%
Medifast Inc,MED,0.171%
Inter Parfums Inc,IPAR,0.162%
BJ's Wholesale Club Holdings Inc,BJ,0.1591%
TreeHouse Foods Inc,THS,0.1534%
Hain Celestial Group Inc,HAIN,0.1521%
Simply Good Foods Co,SMPL,0.1495%
Vector Group Ltd,VGR,0.1366%
Sprouts Farmers Market Inc,SFM,0.1348%
Central Garden & Pet Co,CENTA,0.1344%
Pilgrims Pride Corp,PPC,0.1338%
Hostess Brands Inc,TWNK,0.1318%
NU Skin Enterprises Inc,NUS,0.1243%
Chefs' Warehouse Inc,CHEF,0.1243%
Coca-Cola Consolidated Inc,COKE,0.1215%
PriceSmart Inc,PSMT,0.1145%
Calavo Growers Inc,CVGW,0.1127%
Universal Corp,UVV,0.1073%
Edgewell Personal Care Co,EPC,0.1011%
Fresh Del Monte Produce Inc,FDP,0.0931%
Cal-Maine Foods Inc,CALM,0.0881%
Rite Aid Corp,RAD,0.0864%
Tootsie Roll Industries Inc,TR,0.0842%
Ingles Markets Inc,IMKTA,0.0831%
B&G Foods Inc,BGS,0.0817%
John B Sanfilippo & Son Inc,JBSS,0.0799%
USANA Health Sciences Inc,USNA,0.0754%
Central Garden & Pet Co,CENT,0.0683%
Weis Markets Inc,WMK,0.0677%
e.l.f. Beauty Inc,ELF,0.0665%
Andersons Inc,ANDE,0.0654%
National Beverage Corp,FIZZ,0.0588%
Landec Corp,LNDC,0.0567%
SpartanNash Co,SPTN,0.055%
MGP Ingredients Inc,MGPI,0.0442%
United Natural Foods Inc,UNFI,0.044%
Village Super Market Inc,VLGEA,0.0366%
Farmer Bros Co,FARM,0.0257%
New Age Beverages Corp,NBEV,0.0196%
Beyond Meat Inc,BYND,0.011%
Primo Water Corp,PRMW,0.0109%
Grocery Outlet Holding Corp,GO,0.0073%
Turning Point Brands Inc,TPB,0.0063%
Cash Component,CASH,0.0032%
