VDE: Vanguard Energy ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	2949918
Shares Outstanding: 41039000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Energy 25/50 Index
ETFdb.com Category: Energy Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VDE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,22.0581%
Chevron Corp,CVX,17.6625%
ConocoPhillips,COP,5.0508%
Schlumberger NV,SLB,4.0266%
Kinder Morgan Inc,KMI,3.6891%
EOG Resources Inc,EOG,3.6724%
Phillips 66,PSX,3.5903%
Marathon Petroleum Corp,MPC,3.1516%
Occidental Petroleum Corp,OXY,3.1325%
Valero Energy Corp,VLO,3.0688%
ONEOK Inc,OKE,2.6836%
Williams Companies Inc,WMB,2.1776%
Pioneer Natural Resources Co,PXD,1.9911%
Halliburton Co,HAL,1.663%
Hess Corp,HES,1.3444%
Concho Resources Inc,CXO,1.3243%
Cheniere Energy Inc,LNG,1.1968%
Baker Hughes Co,BKR,1.1947%
Diamondback Energy Inc,FANG,1.0145%
Apache Corp,APA,0.9102%
Marathon Oil Corp,MRO,0.8416%
Noble Energy Inc,NBL,0.8274%
Devon Energy Corp,DVN,0.8124%
Targa Resources Corp,TRGP,0.7455%
National Oilwell Varco Inc,NOV,0.6997%
HollyFrontier Corp,HFC,0.6525%
TechnipFMC PLC,FTI,0.6026%
Cabot Oil & Gas Corp,COG,0.5387%
Parsley Energy Inc,PE,0.4547%
WPX Energy Inc,WPX,0.4483%
Texas Pacific Land Trust,TPL,0.4206%
Cimarex Energy Co,XEC,0.3957%
Helmerich and Payne Inc,HP,0.395%
Tallgrass Energy LP,TGE,0.3253%
Murphy Oil Corp,MUR,0.3103%
PBF Energy Inc,PBF,0.2811%
Plains GP Holdings LP,PAGP,0.2576%
World Fuel Services Corp,INT,0.2373%
Continental Resources Inc,CLR,0.2318%
Transocean Ltd,RIG,0.2167%
PDC Energy Inc,PDCE,0.2115%
Delek US Holdings Inc,DK,0.191%
Equitrans Midstream Corp,ETRN,0.1889%
Apergy Corp,APY,0.1828%
Patterson-UTI Energy Inc,PTEN,0.1525%
Matador Resources Co,MTDR,0.151%
Core Laboratories NV,CLB,0.1447%
EQT Corp,EQT,0.1387%
Dril-Quip Inc,DRQ,0.1366%
CNX Resources Corp,CNX,0.1324%
Kosmos Energy Ltd,KOS,0.1322%
Cactus Inc,WHD,0.1283%
EnLink Midstream LLC,ENLC,0.1232%
Oceaneering International Inc,OII,0.1167%
Callon Petroleum Co,CPE,0.116%
Helix Energy Solutions Group Inc,HLX,0.1137%
Renewable Energy Group Inc,REGI,0.1097%
Magnolia Oil & Gas Corp,MGY,0.1095%
Antero Midstream Corp,AM,0.106%
Archrock Inc,AROC,0.1041%
Valaris PLC,VAL,0.1007%
CVR Energy Inc,CVI,0.0982%
SM Energy Co,SM,0.0945%
Nextier Oilfield Solutions Inc,NEX,0.0903%
Arch Coal Inc,ARCH,0.0832%
Southwestern Energy Co,SWN,0.0824%
ProPetro Holding Corp,PUMP,0.0802%
QEP Resources Inc,QEP,0.0736%
Nabors Industries Ltd,NBR,0.0732%
Tellurian Inc,TELL,0.0707%
Cash Component,CASH,0.069%
SEACOR Holdings Inc,CKH,0.0649%
Par Pacific Holdings Inc,PARR,0.0649%
Range Resources Corp,RRC,0.0648%
Oasis Petroleum Inc,OAS,0.064%
