VFH: Vanguard Financials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	7844485
Shares Outstanding: 105394000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Financials 25/50 Index
ETFdb.com Category: Financials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VFH


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,10.1577%
Berkshire Hathaway Inc,BRK.B,7.092%
Bank of America Corp,BAC,6.9656%
Wells Fargo & Co,WFC,4.7148%
Citigroup Inc,C,4.0349%
American Express Co,AXP,2.1985%
U.S. Bancorp,USB,1.9106%
CME Group Inc,CME,1.8668%
Goldman Sachs Group Inc,GS,1.8527%
S&P Global Inc,SPGI,1.7364%
Chubb Ltd,CB,1.6663%
Truist Financial Corp,TFC,1.6601%
PNC Financial Services Group Inc,PNC,1.5887%
Morgan Stanley,MS,1.5531%
BlackRock Inc,BLK,1.4737%
Marsh & McLennan Companies Inc,MMC,1.3586%
Intercontinental Exchange Inc,ICE,1.34%
Charles Schwab Corp,SCHW,1.2852%
Aon PLC,AON,1.2428%
Progressive Corp,PGR,1.1318%
Capital One Financial Corp,COF,1.1263%
Moody's Corp,MCO,1.0488%
American International Group Inc,AIG,1.048%
Blackstone Group Inc,BX,0.9682%
MetLife Inc,MET,0.9484%
Allstate Corp,ALL,0.9365%
Aflac Inc,AFL,0.9173%
Bank of New York Mellon Corp,BK,0.9121%
Prudential Financial Inc,PRU,0.8809%
Travelers Companies Inc,TRV,0.8276%
T. Rowe Price Group Inc,TROW,0.7535%
State Street Corp,STT,0.6747%
Willis Towers Watson PLC,WLTW,0.6586%
MSCI Inc,MSCI,0.5837%
Discover Financial Services,DFS,0.5733%
M&T Bank Corp,MTB,0.5162%
Ameriprise Financial Inc,AMP,0.5156%
Hartford Financial Services Group Inc,HIG,0.5129%
Fifth Third Bancorp,FITB,0.4954%
Northern Trust Corp,NTRS,0.4783%
Synchrony Financial,SYF,0.465%
Arthur J Gallagher & Co,AJG,0.4575%
KeyCorp,KEY,0.4505%
First Republic Bank,FRC,0.4469%
Arch Capital Group Ltd,ACGL,0.4296%
Citizens Financial Group Inc,CFG,0.4007%
Cincinnati Financial Corp,CINF,0.3892%
Markel Corp,MKL,0.3782%
KKR & Co Inc,KKR,0.3754%
Regions Financial Corp,RF,0.3732%
Principal Financial Group Inc,PFG,0.3529%
Annaly Capital Management Inc,NLY,0.3409%
Huntington Bancshares Inc,HBAN,0.3377%
Loews Corp,L,0.3373%
Cboe Global Markets Inc,CBOE,0.3311%
Marketaxess Holdings Inc,MKTX,0.3236%
Fidelity National Financial Inc,FNF,0.3222%
Nasdaq Inc,NDAQ,0.3192%
TD Ameritrade Holding Corp,AMTD,0.3113%
Ally Financial Inc,ALLY,0.2995%
SVB Financial Group,SIVB,0.2971%
Raymond James Financial Inc,RJF,0.2752%
Everest Re Group Ltd,RE,0.2675%
Factset Research Systems Inc,FDS,0.2614%
Lincoln National Corp,LNC,0.2606%
Brown & Brown Inc,BRO,0.2582%
Globe Life Inc,GL,0.2577%
Alleghany Corp,Y,0.2572%
W. R. Berkley Corp,WRB,0.2569%
E*TRADE Financial Corp,ETFC,0.2451%
AGNC Investment Corp,AGNC,0.2448%
Equitable Holdings Inc,EQH,0.2427%
Comerica Inc,CMA,0.2202%
Reinsurance Group of America Inc,RGA,0.2168%
Renaissancere Holdings Ltd,RNR,0.2036%
Voya Financial Inc,VOYA,0.2022%
SEI Investments Co,SEIC,0.1999%
American Financial Group Inc,AFG,0.1988%
