VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	27008054
Shares Outstanding: 106260000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Apple Inc,AAPL,18.8435%
Microsoft Corp,MSFT,16.6347%
Visa Inc,V,4.6275%
Mastercard Inc,MA,3.843%
Intel Corp,INTC,3.8157%
Cisco Systems Inc,CSCO,2.6512%
Adobe Inc,ADBE,2.2986%
Salesforce.Com Inc,CRM,2.0454%
NVIDIA Corp,NVDA,1.8416%
Accenture PLC,ACN,1.7599%
PayPal Holdings Inc,PYPL,1.7151%
International Business Machines Corp,IBM,1.7144%
Oracle Corp,ORCL,1.6499%
Broadcom Inc,AVGO,1.6375%
Texas Instruments Inc,TXN,1.5169%
Qualcomm Inc,QCOM,1.3975%
Fidelity National Information Services Inc,FIS,1.1868%
Automatic Data Processing Inc,ADP,1.0006%
Intuit Inc,INTU,0.9839%
Fiserv Inc,FISV,0.9239%
ServiceNow Inc,NOW,0.8516%
Global Payments Inc,GPN,0.7904%
Micron Technology Inc,MU,0.7895%
Applied Materials Inc,AMAT,0.7218%
Advanced Micro Devices Inc,AMD,0.653%
Autodesk Inc,ADSK,0.5823%
Lam Research Corp,LRCX,0.5819%
Analog Devices Inc,ADI,0.5457%
Cognizant Technology Solutions Corp,CTSH,0.4569%
HP Inc,HPQ,0.4257%
TE Connectivity Ltd,TEL,0.4178%
Workday Inc,WDAY,0.4067%
Amphenol Corp,APH,0.3991%
Motorola Solutions Inc,MSI,0.3955%
Paychex Inc,PAYX,0.3739%
Fleetcor Technologies Inc,FLT,0.3671%
KLA Corp,KLAC,0.3547%
Square Inc,SQ,0.3444%
Splunk Inc,SPLK,0.3152%
Microchip Technology Inc,MCHP,0.3129%
ANSYS Inc,ANSS,0.3108%
Palo Alto Networks Inc,PANW,0.3029%
Synopsys Inc,SNPS,0.2994%
Verisign Inc,VRSN,0.298%
Xilinx Inc,XLNX,0.2871%
Corning Inc,GLW,0.2806%
Cadence Design Systems Inc,CDNS,0.2723%
Skyworks Solutions Inc,SWKS,0.2617%
Western Digital Corp,WDC,0.2608%
CDW Corp,CDW,0.2545%
Hewlett Packard Enterprise Co,HPE,0.2451%
NortonLifeLock Inc,NLOK,0.2366%
Keysight Technologies Inc,KEYS,0.2356%
Fortinet Inc,FTNT,0.2251%
Maxim Integrated Products Inc,MXIM,0.2195%
Paycom Software Inc,PAYC,0.2153%
Citrix Systems Inc,CTXS,0.2136%
Akamai Technologies Inc,AKAM,0.2071%
Marvell Technology Group Ltd,MRVL,0.2035%
RingCentral Inc,RNG,0.1973%
Gartner Inc,IT,0.1948%
SS&C Technologies Holdings Inc,SSNC,0.1943%
Twilio Inc,TWLO,0.1937%
Seagate Technology PLC,STX,0.1856%
Leidos Holdings Inc,LDOS,0.185%
Broadridge Financial Solutions Inc,BR,0.1837%
Okta Inc,OKTA,0.1834%
Zebra Technologies Corp,ZBRA,0.173%
NetApp Inc,NTAP,0.1714%
Epam Systems Inc,EPAM,0.1687%
Qorvo Inc,QRVO,0.1682%
Tyler Technologies Inc,TYL,0.1681%
VMware Inc,VMW,0.1631%
Arista Networks Inc,ANET,0.1617%
GoDaddy Inc,GDDY,0.1608%
Fair Isaac Corp,FICO,0.1583%
Jack Henry & Associates Inc,JKHY,0.1553%
Western Union Co,WU,0.1537%
Teradyne Inc,TER,0.1506%
Booz Allen Hamilton Holding Corp,BAH,0.1474%
Trimble Inc,TRMB,0.1445%
Trade Desk Inc,TTD,0.1355%
Black Knight Inc,BKI,0.1348%
Zendesk Inc,ZEN,0.1292%
ON Semiconductor Corp,ON,0.1279%
Coupa Software Inc,COUP,0.1268%
WEX Inc,WEX,0.1263%
Guidewire Software Inc,GWRE,0.1239%
PTC Inc,PTC,0.1229%
Cognex Corp,CGNX,0.1171%
Euronet Worldwide Inc,EEFT,0.1166%
Cypress Semiconductor Corp,CY,0.116%
DXC Technology Co,DXC,0.1124%
Aspen Technology Inc,AZPN,0.1105%
DocuSign Inc,DOCU,0.11%
Juniper Networks Inc,JNPR,0.1068%
Dell Technologies Inc,DELL,0.1036%
Universal Display Corp,OLED,0.0998%
HubSpot Inc,HUBS,0.0997%
F5 Networks Inc,FFIV,0.098%
Xerox Holdings Corp,XRX,0.0952%
Entegris Inc,ENTG,0.0945%
Monolithic Power Systems Inc,MPWR,0.0943%
FLIR Systems Inc,FLIR,0.0941%
MongoDB Inc,MDB,0.0929%
Proofpoint Inc,PFPT,0.0928%
Alteryx Inc,AYX,0.0922%
Flex Ltd,FLEX,0.0913%
CACI International Inc,CACI,0.0884%
CDK Global Inc,CDK,0.0878%
Ciena Corp,CIEN,0.0851%
Arrow Electronics Inc,ARW,0.0848%
SYNNEX Corp,SNX,0.0802%
Sabre Corp,SABR,0.0793%
Lumentum Holdings Inc,LITE,0.0787%
MKS Instruments Inc,MKSI,0.0775%
Anaplan Inc,PLAN,0.077%
Mellanox Technologies Ltd,MLNX,0.0761%
National Instruments Corp,NATI,0.0751%
Manhattan Associates Inc,MANH,0.074%
Nuance Communications Inc,NUAN,0.0729%
Jabil Inc,JBL,0.0722%
Tech Data Corp,TECD,0.0702%
Nutanix Inc,NTNX,0.069%
Cree Inc,CREE,0.0673%
Paylocity Holding Corp,PCTY,0.067%
IPG Photonics Corp,IPGP,0.0643%
RealPage Inc,RP,0.0634%
Science Applications International Corp,SAIC,0.0622%
Maximus Inc,MMS,0.0621%
Cirrus Logic Inc,CRUS,0.0604%
j2 Global Inc,JCOM,0.0603%
Dolby Laboratories Inc,DLB,0.06%
Alliance Data Systems Corp,ADS,0.0598%
Five9 Inc,FIVN,0.0587%
Littelfuse Inc,LFUS,0.0585%
Smartsheet Inc,SMAR,0.058%
Silicon Laboratories Inc,SLAB,0.0572%
Cabot Microelectronics Corp,CCMP,0.0572%
Solaredge Technologies Inc,SEDG,0.057%
LogMeIn Inc,LOGM,0.0568%
Envestnet Inc,ENV,0.0558%
Perspecta Inc,PRSP,0.0552%
Dropbox Inc,DBX,0.0549%
NCR Corp,NCR,0.0547%
Pure Storage Inc,PSTG,0.0546%
ACI Worldwide Inc,ACIW,0.0542%
First Solar Inc,FSLR,0.0531%
KBR Inc,KBR,0.0518%
Blackbaud Inc,BLKB,0.0518%
Verint Systems Inc,VRNT,0.0511%
Avnet Inc,AVT,0.0511%
Q2 Holdings Inc,QTWO,0.0508%
Corelogic Inc,CLGX,0.0505%
Zscaler Inc,ZS,0.0477%
Coherent Inc,COHR,0.0467%
FireEye Inc,FEYE,0.0463%
Pegasystems Inc,PEGA,0.0461%
New Relic Inc,NEWR,0.0447%
Zoom Video Communications Inc,ZM,0.0444%
Viavi Solutions Inc,VIAV,0.0435%
Semtech Corp,SMTC,0.0432%
Novanta Inc,NOVT,0.0428%
Ceridian HCM Holding Inc,CDAY,0.0427%
Inphi Corp,IPHI,0.0418%
Anixter International Inc,AXE,0.0415%
Cornerstone OnDemand Inc,CSOD,0.0407%
Qualys Inc,QLYS,0.0391%
II-VI Inc,IIVI,0.0387%
Itron Inc,ITRI,0.0386%
Everbridge Inc,EVBG,0.0385%
Power Integrations Inc,POWI,0.0384%
Teradata Corp,TDC,0.0375%
Brooks Automation Inc,BRKS,0.0372%
Advanced Energy Industries Inc,AEIS,0.0363%
Enphase Energy Inc,ENPH,0.0362%
Vishay Intertechnology Inc,VSH,0.0361%
Liveramp Holdings Inc,RAMP,0.0348%
Varonis Systems Inc,VRNS,0.0342%
LivePerson Inc,LPSN,0.0342%
ViaSat Inc,VSAT,0.0341%
Mimecast Ltd,MIME,0.0337%
Rapid7 Inc,RPD,0.0336%
Exlservice Holdings Inc,EXLS,0.0334%
Bottomline Technologies (DE) Inc,EPAY,0.0321%
Insight Enterprises Inc,NSIT,0.0321%
CommScope Holding Company Inc,COMM,0.0318%
Blackline Inc,BL,0.0318%
Fabrinet,FN,0.0317%
Lattice Semiconductor Corp,LSCC,0.0316%
Ubiquiti Inc,UI,0.0309%
Cloudera Inc,CLDR,0.0304%
Acacia Communications Inc,ACIA,0.0302%
Avaya Holdings Corp,AVYA,0.0302%
Belden Inc,BDC,0.0302%
Sanmina Corp,SANM,0.0301%
Diodes Inc,DIOD,0.0301%
Rogers Corp,ROG,0.0296%
Synaptics Inc,SYNA,0.0294%
Pros Holdings Inc,PRO,0.0293%
ManTech International Corp,MANT,0.0291%
Box Inc,BOX,0.0284%
Plexus Corp,PLXS,0.028%
SPS Commerce Inc,SPSC,0.0277%
Evertec Inc,EVTC,0.0275%
SailPoint Technologies Holdings Inc,SAIL,0.0272%
EchoStar Corp,SATS,0.027%
Progress Software Corp,PRGS,0.027%
AppFolio Inc,APPF,0.0269%
Netscout Systems Inc,NTCT,0.0263%
Commvault Systems Inc,CVLT,0.0262%
Onto Innovation Inc,ONTO,0.0257%
FormFactor Inc,FORM,0.0255%
8x8 Inc,EGHT,0.0249%
Knowles Corp,KN,0.0242%
Rambus Inc,RMBS,0.0237%
Elastic NV,ESTC,0.0235%
InterDigital Wireless Inc,IDCC,0.0235%
Cardtronics PLC,CATM,0.0234%
Ambarella Inc,AMBA,0.0233%
Badger Meter Inc,BMI,0.0232%
Verra Mobility Corp,VRRM,0.0221%
CSG Systems International Inc,CSGS,0.022%
Kulicke and Soffa Industries Inc,KLIC,0.022%
Perficient Inc,PRFT,0.0219%
Alarm.com Holdings Inc,ALRM,0.0214%
Instructure Inc,INST,0.0208%
OSI Systems Inc,OSIS,0.0204%
Fitbit Inc,FIT,0.0199%
Pluralsight Inc,PS,0.0198%
TTM Technologies Inc,TTMI,0.0195%
Workiva Inc,WK,0.0193%
KEMET Corp,KEM,0.0193%
Sykes Enterprises Inc,SYKE,0.018%
Altair Engineering Inc,ALTR,0.018%
MACOM Technology Solutions Holdings Inc,MTSI,0.0179%
MaxLinear Inc,MXL,0.0178%
NIC Inc,EGOV,0.0177%
3D Systems Corp,DDD,0.0173%
2U Inc,TWOU,0.0168%
MicroStrategy Inc,MSTR,0.0167%
Methode Electronics Inc,MEI,0.0165%
Virtusa Corp,VRTU,0.0164%
Amkor Technology Inc,AMKR,0.0163%
Appian Corp,APPN,0.0161%
Infinera Corp,INFN,0.016%
Zuora Inc,ZUO,0.0156%
EVO Payments Inc,EVOP,0.0153%
ePlus inc,PLUS,0.0151%
Benchmark Electronics Inc,BHE,0.015%
AVX Corp,AVX,0.0137%
MTS Systems Corp,MTSC,0.0136%
ForeScout Technologies Inc,FSCT,0.0135%
Plantronics Inc,PLT,0.0131%
CTS Corp,CTS,0.0125%
Yext Inc,YEXT,0.0125%
TiVo Corp,TIVO,0.0124%
Cohu Inc,COHU,0.0123%
Ultra Clean Holdings Inc,UCTT,0.0123%
FARO Technologies Inc,FARO,0.0122%
ScanSource Inc,SCSC,0.0121%
Switch Inc,SWCH,0.0118%
Photronics Inc,PLAB,0.0115%
Ebix Inc,EBIX,0.0114%
Diebold Nixdorf Inc,DBD,0.0112%
Upland Software Inc,UPLD,0.0111%
NETGEAR Inc,NTGR,0.0109%
Tenable Holdings Inc,TENB,0.0107%
Xperi Corp,XPER,0.0106%
Axcelis Technologies Inc,ACLS,0.0106%
Conduent Inc,CNDT,0.0104%
Model N Inc,MODN,0.0103%
SunPower Corp,SPWR,0.0103%
Ichor Holdings Ltd,ICHR,0.01%
Extreme Networks Inc,EXTR,0.0096%
Comtech Telecommunications Corp,CMTL,0.0096%
Cass Information Systems Inc,CASS,0.0094%
TTEC Holdings Inc,TTEC,0.0088%
Harmonic Inc,HLIT,0.0085%
Veeco Instruments Inc,VECO,0.0084%
CEVA Inc,CEVA,0.0082%
Unisys Corp,UIS,0.0081%
Limelight Networks Inc,LLNW,0.0078%
PC Connection Inc,CNXN,0.0078%
Tucows Inc,TCX,0.0076%
OneSpan Inc,OSPN,0.0073%
QAD Inc,QADA,0.0073%
Impinj Inc,PI,0.0071%
Cash Component,CASH,0.0071%
nLIGHT Inc,LASR,0.0066%
GreenSky Inc,GSKY,0.0066%
SVMK Inc,SVMK,0.0064%
Benefitfocus Inc,BNFT,0.0064%
Digital Turbine Inc,APPS,0.0063%
Calix Inc,CALX,0.0062%
PDF Solutions Inc,PDFS,0.006%
American Software Inc,AMSWA,0.0059%
ADTRAN Inc,ADTN,0.0058%
Smart Global Holdings Inc,SGH,0.0057%
Kimball Electronics Inc,KE,0.0056%
Hackett Group Inc,HCKT,0.0054%
GTT Communications Inc,GTT,0.005%
Vishay Precision Group Inc,VPG,0.0049%
