VHT: Vanguard Healthcare ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	9831415
Shares Outstanding: 52596000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Health Care 25/50 Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VHT


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,9.0521%
UnitedHealth Group Inc,UNH,5.9499%
Merck & Co Inc,MRK,5.0397%
Pfizer Inc,PFE,4.7465%
Medtronic PLC,MDT,3.569%
Abbott Laboratories,ABT,3.5486%
Bristol-Myers Squibb Co,BMY,3.4005%
Amgen Inc,AMGN,2.9836%
Thermo Fisher Scientific Inc,TMO,2.8901%
Eli Lilly and Co,LLY,2.7954%
Abbvie Inc,ABBV,2.7599%
Danaher Corp,DHR,2.318%
CVS Health Corp,CVS,2.0329%
Gilead Sciences Inc,GILD,1.8443%
Becton Dickinson and Co,BDX,1.7145%
Cigna Corp,CI,1.6723%
Stryker Corp,SYK,1.633%
Anthem Inc,ANTM,1.5619%
Intuitive Surgical Inc,ISRG,1.4862%
Zoetis Inc,ZTS,1.477%
Allergan plc,AGN,1.4106%
Vertex Pharmaceuticals Inc,VRTX,1.3466%
Boston Scientific Corp,BSX,1.3438%
Biogen Inc,BIIB,1.1455%
Edwards Lifesciences Corp,EW,1.0544%
Humana Inc,HUM,1.0439%
Baxter International Inc,BAX,0.9971%
Illumina Inc,ILMN,0.9813%
HCA Healthcare Inc,HCA,0.8737%
Centene Corp,CNC,0.8445%
Zimmer Biomet Holdings Inc,ZBH,0.6998%
Regeneron Pharmaceuticals Inc,REGN,0.6295%
McKesson Corp,MCK,0.6076%
IQVIA Holdings Inc,IQV,0.5983%
Agilent Technologies Inc,A,0.5886%
IDEXX Laboratories Inc,IDXX,0.5396%
Resmed Inc,RMD,0.5276%
Cerner Corp,CERN,0.5275%
Alexion Pharmaceuticals Inc,ALXN,0.5128%
DexCom Inc,DXCM,0.5051%
Align Technology Inc,ALGN,0.4514%
Veeva Systems Inc,VEEV,0.4395%
Mettler-Toledo International Inc,MTD,0.4215%
Teleflex Inc,TFX,0.3977%
Laboratory Corporation of America Holdings,LH,0.3943%
Cooper Companies Inc,COO,0.3936%
Cardinal Health Inc,CAH,0.352%
Biomarin Pharmaceutical Inc,BMRN,0.345%
Waters Corp,WAT,0.345%
Quest Diagnostics Inc,DGX,0.3436%
Hologic Inc,HOLX,0.33%
Exact Sciences Corp,EXAS,0.3136%
Incyte Corp,INCY,0.3082%
AmerisourceBergen Corp,ABC,0.3078%
Alnylam Pharmaceuticals Inc,ALNY,0.2949%
Varian Medical Systems Inc,VAR,0.2949%
Seattle Genetics Inc,SGEN,0.2947%
Steris plc,STE,0.2936%
Dentsply Sirona Inc,XRAY,0.289%
Elanco Animal Health Inc,ELAN,0.2818%
Insulet Corp,PODD,0.27%
West Pharmaceutical Services Inc,WST,0.2638%
Universal Health Services Inc,UHS,0.2554%
Mylan NV,MYL,0.2545%
PerkinElmer Inc,PKI,0.2376%
Henry Schein Inc,HSIC,0.2362%
Catalent Inc,CTLT,0.2054%
Neurocrine Biosciences Inc,NBIX,0.2014%
Masimo Corp,MASI,0.2009%
Sarepta Therapeutics Inc,SRPT,0.1986%
Abiomed Inc,ABMD,0.1954%
DaVita Inc,DVA,0.1915%
Jazz Pharmaceuticals PLC,JAZZ,0.1872%
Bio Rad Laboratories Inc,BIO,0.1855%
Bio-Techne Corp,TECH,0.1843%
Ionis Pharmaceuticals Inc,IONS,0.1798%
Charles River Laboratories International Inc,CRL,0.1754%
Encompass Health Corp,EHC,0.1748%
Chemed Corp,CHE,0.17%
Perrigo Company PLC,PRGO,0.1698%
Molina Healthcare Inc,MOH,0.1685%
Hill-Rom Holdings Inc,HRC,0.1642%
Teladoc Health Inc,TDOC,0.1611%
Horizon Therapeutics PLC,HZNP,0.1484%
Novocure Ltd,NVCR,0.1482%
PRA Health Sciences Inc,PRAH,0.1453%
Amedisys Inc,AMED,0.1323%
Penumbra Inc,PEN,0.1277%
Haemonetics Corp,HAE,0.1265%
Bruker Corp,BRKR,0.1239%
Exelixis Inc,EXEL,0.1201%
Repligen Corp,RGEN,0.1075%
