XLE: Energy Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	9521065
Shares Outstanding: 178124000
Expense Ratio: 0.13%
Tracks This Index: Energy Select Sector Index
ETFdb.com Category: Energy Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,22.4129%
Chevron Corp,CVX,20.3686%
ConocoPhillips,COP,4.6328%
EOG Resources Inc,EOG,4.5321%
Kinder Morgan Inc,KMI,4.3425%
Schlumberger NV,SLB,4.1986%
Phillips 66,PSX,3.9528%
Occidental Petroleum Corp,OXY,3.7905%
Marathon Petroleum Corp,MPC,3.7793%
Valero Energy Corp,VLO,3.6979%
ONEOK Inc,OKE,3.3034%
Williams Companies Inc,WMB,2.6791%
Pioneer Natural Resources Co,PXD,2.3897%
Halliburton Co,HAL,2.0454%
Concho Resources Inc,CXO,1.6278%
Hess Corp,HES,1.5645%
Baker Hughes Co,BKR,1.5037%
Diamondback Energy Inc,FANG,1.2808%
Apache Corp,APA,1.1019%
Noble Energy Inc,NBL,1.0099%
Marathon Oil Corp,MRO,0.9714%
Devon Energy Corp,DVN,0.8982%
National Oilwell Varco Inc,NOV,0.8492%
TechnipFMC PLC,FTI,0.7236%
HollyFrontier Corp,HFC,0.7128%
Cabot Oil & Gas Corp,COG,0.6138%
Cimarex Energy Co,XEC,0.478%
Helmerich and Payne Inc,HP,0.4704%
Cash Component,CASH,0.0685%
