XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	24546660
Shares Outstanding: 818695000
Expense Ratio: 0.13%
Tracks This Index: Financial Select Sector Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,13.0245%
JPMorgan Chase & Co,JPM,12.3166%
Bank of America Corp,BAC,7.8859%
Wells Fargo & Co,WFC,5.3605%
Citigroup Inc,C,4.8196%
American Express Co,AXP,2.5816%
CME Group Inc,CME,2.3027%
Goldman Sachs Group Inc,GS,2.252%
U.S. Bancorp,USB,2.2436%
S&P Global Inc,SPGI,2.1357%
Truist Financial Corp,TFC,2.0537%
Chubb Ltd,CB,2.048%
PNC Financial Services Group Inc,PNC,1.9323%
Morgan Stanley,MS,1.9069%
BlackRock Inc,BLK,1.8292%
Marsh & McLennan Companies Inc,MMC,1.6714%
Intercontinental Exchange Inc,ICE,1.65%
Charles Schwab Corp,SCHW,1.5466%
Aon PLC,AON,1.528%
Progressive Corp,PGR,1.3994%
Capital One Financial Corp,COF,1.378%
American International Group Inc,AIG,1.2975%
Moody's Corp,MCO,1.2333%
MetLife Inc,MET,1.1539%
Allstate Corp,ALL,1.1386%
Aflac Inc,AFL,1.1249%
Bank of New York Mellon Corp,BK,1.1142%
Prudential Financial Inc,PRU,1.0873%
Travelers Companies Inc,TRV,1.0097%
T. Rowe Price Group Inc,TROW,0.9263%
State Street Corp,STT,0.8173%
Willis Towers Watson PLC,WLTW,0.8034%
MSCI Inc,MSCI,0.7244%
Discover Financial Services,DFS,0.6966%
M&T Bank Corp,MTB,0.6632%
Hartford Financial Services Group Inc,HIG,0.6327%
Ameriprise Financial Inc,AMP,0.6179%
Northern Trust Corp,NTRS,0.6133%
Fifth Third Bancorp,FITB,0.5997%
Synchrony Financial,SYF,0.5707%
Arthur J Gallagher & Co,AJG,0.5679%
First Republic Bank,FRC,0.5547%
KeyCorp,KEY,0.5466%
Citizens Financial Group Inc,CFG,0.4799%
Cincinnati Financial Corp,CINF,0.476%
Regions Financial Corp,RF,0.4456%
Huntington Bancshares Inc,HBAN,0.4155%
Principal Financial Group Inc,PFG,0.4062%
Cboe Global Markets Inc,CBOE,0.4028%
Marketaxess Holdings Inc,MKTX,0.4016%
Nasdaq Inc,NDAQ,0.3962%
Loews Corp,L,0.3912%
SVB Financial Group,SIVB,0.3687%
Raymond James Financial Inc,RJF,0.3354%
Everest Re Group Ltd,RE,0.3321%
Lincoln National Corp,LNC,0.3198%
W. R. Berkley Corp,WRB,0.3188%
Globe Life Inc,GL,0.306%
E*TRADE Financial Corp,ETFC,0.2843%
Comerica Inc,CMA,0.2611%
Assurant Inc,AIZ,0.2351%
Zions Bancorporation NA,ZION,0.2306%
Franklin Resources Inc,BEN,0.2093%
People's United Financial Inc,PBCT,0.2037%
Invesco Ltd,IVZ,0.1916%
Unum Group,UNM,0.1638%
Cash Component,CASH,0.0644%
