XLK: Technology Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	27198808
Shares Outstanding: 285206000
Expense Ratio: 0.13%
Tracks This Index: Technology Select Sector Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLK


Holding,Symbol,Weighting
Microsoft Corp,MSFT,20.0887%
Apple Inc,AAPL,19.9988%
Visa Inc,V,5.2702%
Mastercard Inc,MA,4.3399%
Intel Corp,INTC,4.3011%
Cisco Systems Inc,CSCO,3.0166%
Adobe Inc,ADBE,2.629%
Salesforce.Com Inc,CRM,2.5005%
NVIDIA Corp,NVDA,2.2362%
PayPal Holdings Inc,PYPL,2.0684%
Accenture PLC,ACN,2.0141%
International Business Machines Corp,IBM,1.9683%
Broadcom Inc,AVGO,1.8751%
Oracle Corp,ORCL,1.7578%
Texas Instruments Inc,TXN,1.7434%
Qualcomm Inc,QCOM,1.5064%
Fidelity National Information Services Inc,FIS,1.3648%
Automatic Data Processing Inc,ADP,1.1466%
Intuit Inc,INTU,1.129%
Fiserv Inc,FISV,1.0472%
ServiceNow Inc,NOW,0.986%
Global Payments Inc,GPN,0.91%
Micron Technology Inc,MU,0.9096%
Applied Materials Inc,AMAT,0.8282%
Advanced Micro Devices Inc,AMD,0.8092%
Lam Research Corp,LRCX,0.6692%
Autodesk Inc,ADSK,0.6688%
Analog Devices Inc,ADI,0.6261%
Cognizant Technology Solutions Corp,CTSH,0.5201%
HP Inc,HPQ,0.4887%
TE Connectivity Ltd,TEL,0.4775%
Motorola Solutions Inc,MSI,0.4677%
Amphenol Corp,APH,0.4569%
Fleetcor Technologies Inc,FLT,0.4231%
Paychex Inc,PAYX,0.4227%
KLA Corp,KLAC,0.4032%
ANSYS Inc,ANSS,0.3625%
Microchip Technology Inc,MCHP,0.3598%
Synopsys Inc,SNPS,0.3434%
Verisign Inc,VRSN,0.3317%
Xilinx Inc,XLNX,0.3278%
Corning Inc,GLW,0.3174%
Cadence Design Systems Inc,CDNS,0.313%
Western Digital Corp,WDC,0.3008%
Skyworks Solutions Inc,SWKS,0.299%
CDW Corp,CDW,0.29%
Hewlett Packard Enterprise Co,HPE,0.2787%
Keysight Technologies Inc,KEYS,0.2691%
Fortinet Inc,FTNT,0.254%
Maxim Integrated Products Inc,MXIM,0.2522%
NortonLifeLock Inc,NLOK,0.2521%
Paycom Software Inc,PAYC,0.2402%
Akamai Technologies Inc,AKAM,0.233%
Citrix Systems Inc,CTXS,0.2288%
Gartner Inc,IT,0.2225%
Broadridge Financial Solutions Inc,BR,0.2124%
Leidos Holdings Inc,LDOS,0.2065%
Seagate Technology PLC,STX,0.2044%
Zebra Technologies Corp,ZBRA,0.2005%
Qorvo Inc,QRVO,0.1909%
NetApp Inc,NTAP,0.1881%
Arista Networks Inc,ANET,0.1874%
Jack Henry & Associates Inc,JKHY,0.1788%
Western Union Co,WU,0.1743%
DXC Technology Co,DXC,0.1264%
Juniper Networks Inc,JNPR,0.1188%
F5 Networks Inc,FFIV,0.1152%
FLIR Systems Inc,FLIR,0.107%
Xerox Holdings Corp,XRX,0.1022%
IPG Photonics Corp,IPGP,0.0696%
Alliance Data Systems Corp,ADS,0.0647%
Cash Component,CASH,0.0075%
