XLP: Consumer Staples Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	13194892
Shares Outstanding: 208822000
Expense Ratio: 0.13%
Tracks This Index: Consumer Staples Select Sector Index
ETFdb.com Category: Consumer Staples Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLP


Holding,Symbol,Weighting
Procter & Gamble Co,PG,16.0816%
Coca-Cola Co,KO,11.6528%
PepsiCo Inc,PEP,10.2491%
Walmart Inc,WMT,8.4037%
Mondelez International Inc,MDLZ,4.891%
Costco Wholesale Corp,COST,4.6514%
Philip Morris International Inc,PM,4.3452%
Altria Group Inc,MO,4.2154%
Colgate-Palmolive Co,CL,3.7435%
Kimberly-Clark Corp,KMB,2.9062%
Estee Lauder Companies Inc,EL,2.5697%
Sysco Corp,SYY,2.4803%
Walgreens Boots Alliance Inc,WBA,2.2565%
General Mills Inc,GIS,1.8677%
Constellation Brands Inc,STZ,1.8655%
Monster Beverage Corp,MNST,1.5051%
Archer Daniels Midland Co,ADM,1.4748%
Tyson Foods Inc,TSN,1.4437%
Hershey Co,HSY,1.3605%
Kroger Co,KR,1.2753%
McCormick & Company Inc,MKC,1.1945%
Clorox Co,CLX,1.1701%
Church & Dwight Co Inc,CHD,1.0783%
Kraft Heinz Co,KHC,1.0767%
Kellogg Co,K,1.0061%
Conagra Brands Inc,CAG,0.9482%
Lamb Weston Holdings Inc,LW,0.789%
Hormel Foods Corp,HRL,0.7779%
Brown-Forman Corp,BF.B,0.7301%
J M Smucker Co,SJM,0.6985%
Molson Coors Beverage Co,TAP,0.6175%
Campbell Soup Co,CPB,0.484%
Coty Inc,COTY,0.1796%
Cash Component,CASH,0.0108%
