XLV: Health Care Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-01-31
Total Assets Under Management (in thousands):	19485594
Shares Outstanding: 196515000
Expense Ratio: 0.13%
Tracks This Index: Health Care Select Sector Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLV


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,10.6328%
UnitedHealth Group Inc,UNH,7.0066%
Merck & Co Inc,MRK,5.9025%
Pfizer Inc,PFE,5.5923%
Medtronic PLC,MDT,4.1982%
Abbott Laboratories,ABT,4.1797%
Bristol-Myers Squibb Co,BMY,4.0047%
Amgen Inc,AMGN,3.4819%
Thermo Fisher Scientific Inc,TMO,3.4049%
Abbvie Inc,ABBV,3.2504%
Eli Lilly and Co,LLY,3.2025%
Danaher Corp,DHR,2.7905%
CVS Health Corp,CVS,2.3939%
Gilead Sciences Inc,GILD,2.1696%
Becton Dickinson and Co,BDX,2.0204%
Cigna Corp,CI,1.9479%
Stryker Corp,SYK,1.8402%
Anthem Inc,ANTM,1.8246%
Intuitive Surgical Inc,ISRG,1.7501%
Zoetis Inc,ZTS,1.7352%
Allergan plc,AGN,1.6639%
Vertex Pharmaceuticals Inc,VRTX,1.5846%
Boston Scientific Corp,BSX,1.5835%
Biogen Inc,BIIB,1.3177%
Edwards Lifesciences Corp,EW,1.2461%
Baxter International Inc,BAX,1.2363%
Humana Inc,HUM,1.2072%
Illumina Inc,ILMN,1.1585%
HCA Healthcare Inc,HCA,0.9967%
Centene Corp,CNC,0.9945%
Zimmer Biomet Holdings Inc,ZBH,0.8263%
IQVIA Holdings Inc,IQV,0.7609%
Regeneron Pharmaceuticals Inc,REGN,0.7294%
McKesson Corp,MCK,0.6961%
Agilent Technologies Inc,A,0.6927%
IDEXX Laboratories Inc,IDXX,0.6286%
Resmed Inc,RMD,0.6188%
Cerner Corp,CERN,0.6129%
Alexion Pharmaceuticals Inc,ALXN,0.5974%
Mettler-Toledo International Inc,MTD,0.504%
Align Technology Inc,ALGN,0.4978%
Cooper Companies Inc,COO,0.4688%
Teleflex Inc,TFX,0.4646%
Laboratory Corporation of America Holdings,LH,0.4635%
Cardinal Health Inc,CAH,0.4059%
Quest Diagnostics Inc,DGX,0.404%
Waters Corp,WAT,0.3927%
Hologic Inc,HOLX,0.3897%
Incyte Corp,INCY,0.3552%
AmerisourceBergen Corp,ABC,0.3486%
Steris plc,STE,0.3465%
Varian Medical Systems Inc,VAR,0.3459%
Dentsply Sirona Inc,XRAY,0.3377%
Mylan NV,MYL,0.2998%
Universal Health Services Inc,UHS,0.2987%
PerkinElmer Inc,PKI,0.2779%
Henry Schein Inc,HSIC,0.2739%
Abiomed Inc,ABMD,0.2292%
Perrigo Company PLC,PRGO,0.2105%
DaVita Inc,DVA,0.1949%
Cash Component,CASH,0.0086%
