,ETF Trading Spread in $,Arbitrage in $,Magnitude of Arbitrage,Flag,Hammer Pat,InvertedHammer Pat,DragonFlyDoji Pat,PiercingLine Pat,MorningStar Pat,MorningStarDoji Pat,3WhiteSoldiers Pat,HanginMan Pat,Shooting Pat,GraveStone Pat,DarkCloud Pat,EveningStar Pat,EveningDoji Pat,3BlackCrows Pat,AbandonedBaby Pat,AbandonedBaby Pat,Engulfing Pat,Harami Pat,IndecisionSpinningTop Pat,IndecisionDoji Pat,3LineStrike Pat,ETFMover%1,ETFMover%2,ETFMover%3,ETFMover%4,ETFMover%5,ETFMover%6,ETFMover%7,ETFMover%8,ETFMover%9,ETFMover%10,Change%1,Change%2,Change%3,Change%4,Change%5,Change%6,Change%7,Change%8,Change%9,Change%10,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,T+4,T+5
2020-05-04 09:34:00,0.010350385423966353,0.04755393048930198,0.03720354506533563,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['NVDA', 0.0147]","['INTC', 0.0132]","['CRM', 0.0084]","['ADBE', 0.0081]","['CSCO', 0.0071]","['V', -0.0068]","['QCOM', 0.0055]","['NOW', 0.0055]","['AAPL', 0.0047]","['PYPL', 0.0045]","['ADS', -0.684]","['NOW', 0.5151]","['NVDA', 0.5119]","['AMAT', 0.3882]","['QCOM', 0.3843]","['CRM', 0.3656]","['LRCX', 0.3554]","['CDNS', 0.3346]","['INTC', 0.3172]","['ADSK', 0.3142]",,,,,,0.14182032425311686,-0.028312570781430235,-0.12461059190033152,0.062383031815360646,0.1303559283609257,-0.016980811682809627
2020-05-04 09:35:00,0.010086647727272371,0.028048421872099816,0.017961774144827445,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', -0.013]","['MA', -0.0108]","['V', -0.0093]","['IBM', -0.0057]","['NVDA', 0.0044]","['AVGO', -0.004]","['TXN', -0.0038]","['GPN', -0.0034]","['QCOM', -0.0033]","['INTU', 0.0032]","['IPGP', 1.061]","['ADS', -0.7346]","['DXC', -0.7132]","['LDOS', 0.6202]","['XRX', -0.5461]","['PAYC', 0.5194]","['HPE', -0.434]","['GPN', -0.4281]","['MSI', 0.3823]","['WDC', -0.376]",,,,,,-0.028312570781430235,-0.12461059190033152,0.062383031815360646,0.1303559283609257,-0.016980811682809627,-0.039628623188403544
2020-05-04 09:38:00,0.009710169207572738,0.03710538460254023,0.027395215394967493,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['MA', 0.0144]","['V', 0.0142]","['ADBE', 0.0105]","['INTC', 0.0091]","['NVDA', 0.0085]","['CRM', 0.0074]","['NOW', 0.0048]","['PYPL', 0.0043]","['CSCO', -0.0041]","['AMD', 0.0033]","['ADS', 0.9859]","['IT', 0.7152]","['PAYC', 0.5275]","['DXC', 0.4652]","['NOW', 0.4551]","['ADBE', 0.3781]","['WDC', 0.3778]","['MA', 0.3636]","['FLIR', -0.3583]","['JNPR', -0.3467]",-0.12461059190033152,-0.028312570781430235,0.14182032425311686,0.005614154474309352,-0.12460353420933323,0.1303559283609257,-0.016980811682809627,-0.039628623188403544,0.1359234298012213,0.016967366099196468,-0.10178692603484141
2020-05-04 09:41:00,0.009790006131207764,0.02189703256487458,0.012107026433666818,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0139]","['MA', 0.0087]","['V', 0.0078]","['CRM', 0.007]","['NVDA', 0.0066]","['ADBE', 0.006]","['INTC', 0.0047]","['AMD', 0.004]","['ADP', 0.0038]","['CSCO', 0.0034]","['PAYC', 0.9591]","['DXC', 0.717]","['WDC', 0.5022]","['XRX', 0.4369]","['AMD', 0.4151]","['MCHP', 0.3994]","['ADP', 0.3775]","['ADSK', 0.3616]","['ANSS', 0.3367]","['HPE', 0.333]",-0.016980811682809627,0.1303559283609257,0.062383031815360646,-0.12461059190033152,-0.028312570781430235,0.1359234298012213,0.016967366099196468,-0.10178692603484141,0.0,0.05377561417412302,0.05657548584199201
2020-05-04 09:44:00,0.009716765646413866,0.009968848481031425,0.0002520828346175598,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', -0.0179]","['INTC', -0.0038]","['PYPL', -0.0036]","['ADBE', 0.0031]","['AVGO', 0.0026]","['CRM', 0.0023]","['MA', 0.0018]","['ANSS', -0.0017]","['AMD', 0.0016]","['TXN', 0.0015]","['ADS', 0.5799]","['ANSS', -0.4817]","['WDC', -0.436]","['PAYC', 0.3246]","['NTAP', -0.3054]","['LDOS', -0.2522]","['VRSN', 0.2371]","['QRVO', 0.2268]","['HPE', -0.2005]","['SNPS', 0.1939]",0.016967366099196468,0.1359234298012213,-0.039628623188403544,-0.016980811682809627,0.1303559283609257,0.0,0.05377561417412302,0.05657548584199201,-0.05213310338977317,0.11721923391121436,0.022602701022766958
2020-05-04 09:45:00,0.010129945134276466,0.017004186407021532,0.006874241272745066,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0251]","['V', -0.0049]","['NVDA', 0.0045]","['MA', -0.004]","['CSCO', -0.0039]","['CRM', 0.0027]","['INTU', 0.0024]","['AMD', 0.0023]","['MU', 0.002]","['AVGO', 0.0016]","['WDC', 0.7131]","['ADS', 0.4635]","['PAYC', 0.3163]","['IT', 0.2548]","['JNPR', -0.2447]","['AMD', 0.2426]","['FFIV', -0.2403]","['MU', 0.2375]","['KLAC', 0.2331]","['VRSN', -0.2292]",-0.10178692603484141,0.016967366099196468,0.1359234298012213,-0.039628623188403544,-0.016980811682809627,0.05377561417412302,0.05657548584199201,-0.05213310338977317,0.11721923391121436,0.022602701022766958,0.09620925371447431
2020-05-04 09:48:00,0.009812084885792303,0.0375822055851769,0.027770120699384598,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.03]","['NVDA', 0.0078]","['V', 0.005]","['MA', 0.0048]","['ACN', 0.0036]","['AMD', 0.0033]","['IBM', -0.0028]","['CRM', 0.0024]","['QCOM', 0.0024]","['PYPL', 0.0023]","['AMD', 0.3397]","['XLNX', 0.3032]","['NVDA', 0.2729]","['DXC', -0.2469]","['FTNT', 0.239]","['NLOK', 0.2383]","['VRSN', 0.234]","['SWKS', 0.2226]","['CDNS', 0.2179]","['MCHP', -0.2091]",0.05657548584199201,0.05377561417412302,0.0,-0.10178692603484141,0.016967366099196468,0.11721923391121436,0.022602701022766958,0.09620925371447431,0.06473631662211599,0.11071942243152666,0.044340201463399787
2020-05-04 09:50:00,0.009500391542676883,0.03087831887833295,0.021377927335656067,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.02]","['INTC', 0.0076]","['NVDA', 0.0063]","['ADBE', 0.0041]","['AVGO', 0.0028]","['QCOM', 0.0027]","['ACN', 0.0025]","['INTU', 0.0022]","['AMD', 0.002]","['ORCL', -0.002]","['ADS', -0.3498]","['KLAC', 0.3208]","['SWKS', 0.3168]","['WDC', 0.3033]","['CTSH', 0.2295]","['XRX', 0.2206]","['NVDA', 0.2195]","['AMD', 0.2071]","['AMAT', 0.2008]","['INTU', 0.1985]",0.11721923391121436,-0.05213310338977317,0.05657548584199201,0.05377561417412302,0.0,0.09620925371447431,0.06473631662211599,0.11071942243152666,0.044340201463399787,-0.016894745734075123,-0.050692801622176376
2020-05-04 09:51:00,0.009694749694750461,0.033657740475178735,0.023962990780428274,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.017]","['INTC', 0.008]","['NVDA', -0.0036]","['MA', -0.0034]","['ADBE', -0.0032]","['CRM', 0.0032]","['NOW', 0.003]","['CSCO', 0.0023]","['ORCL', 0.0016]","['V', -0.001]","['WU', -0.3552]","['NOW', 0.2829]","['PAYC', -0.2598]","['FLIR', 0.2569]","['KEYS', 0.2538]","['ZBRA', 0.233]","['IT', 0.2206]","['DXC', -0.2145]","['INTC', 0.1926]","['FFIV', 0.1898]",0.022602701022766958,0.11721923391121436,-0.05213310338977317,0.05657548584199201,0.05377561417412302,0.06473631662211599,0.11071942243152666,0.044340201463399787,-0.016894745734075123,-0.050692801622176376,0.073260073260073
2020-05-04 09:52:00,0.009431909750200761,0.014063712555150192,0.004631802804949431,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['AAPL', 0.0247]","['MA', 0.0078]","['CRM', 0.0067]","['V', 0.0066]","['PYPL', 0.0062]","['CSCO', 0.006]","['NVDA', 0.0043]","['ADBE', 0.0039]","['NOW', 0.0037]","['INTC', 0.0036]","['PAYC', 0.4899]","['NOW', 0.3438]","['IPGP', 0.3197]","['FTNT', 0.2949]","['QRVO', 0.292]","['CRM', 0.2896]","['PYPL', 0.2652]","['IT', 0.2532]","['ADSK', 0.2483]","['JKHY', 0.2462]",0.09620925371447431,0.022602701022766958,0.11721923391121436,-0.05213310338977317,0.05657548584199201,0.11071942243152666,0.044340201463399787,-0.016894745734075123,-0.050692801622176376,0.073260073260073,-0.03378758869240217
