Holding,Symbol,Weighting
Microsoft Corp,MSFT,20.67%
Apple Inc,AAPL,19.10%
Visa Inc,V,5.20%
Mastercard Inc,MA,4.31%
Intel Corp,INTC,4.04%
Cisco Systems Inc,CSCO,2.83%
Adobe Inc,ADBE,2.79%
NVIDIA Corp,NVDA,2.77%
Salesforce.Com Inc,CRM,2.53%
PayPal Holdings Inc,PYPL,2.12%
International Business Machines Corp,IBM,1.93%
Accenture PLC,ACN,1.92%
Broadcom Inc,AVGO,1.81%
Oracle Corp,ORCL,1.79%
Texas Instruments Inc,TXN,1.78%
Qualcomm Inc,QCOM,1.49%
Fidelity National Information Services Inc,FIS,1.44%
Intuit Inc,INTU,1.16%
Automatic Data Processing Inc,ADP,1.12%
Fiserv Inc,FISV,1.04%
ServiceNow Inc,NOW,1.03%
Micron Technology Inc,MU,0.97%
Global Payments Inc,GPN,0.92%
Applied Materials Inc,AMAT,0.90%
Advanced Micro Devices Inc,AMD,0.89%
Lam Research Corp,LRCX,0.71%
Autodesk Inc,ADSK,0.70%
Analog Devices Inc,ADI,0.67%
Cognizant Technology Solutions Corp,CTSH,0.56%
HP Inc,HPQ,0.52%
Motorola Solutions Inc,MSI,0.48%
TE Connectivity Ltd,TEL,0.46%
Amphenol Corp,APH,0.45%
Paychex Inc,PAYX,0.41%
KLA Corp,KLAC,0.41%
Fleetcor Technologies Inc,FLT,0.38%
Microchip Technology Inc,MCHP,0.36%
Xilinx Inc,XLNX,0.35%
Synopsys Inc,SNPS,0.35%
ANSYS Inc,ANSS,0.35%
Verisign Inc,VRSN,0.33%
Cadence Design Systems Inc,CDNS,0.31%
Corning Inc,GLW,0.31%
Keysight Technologies Inc,KEYS,0.30%
Skyworks Solutions Inc,SWKS,0.29%
Hewlett Packard Enterprise Co,HPE,0.28%
Western Digital Corp,WDC,0.28%
CDW Corp,CDW,0.27%
Maxim Integrated Products Inc,MXIM,0.25%
Fortinet Inc,FTNT,0.24%
Akamai Technologies Inc,AKAM,0.23%
Paycom Software Inc,PAYC,0.23%
Leidos Holdings Inc,LDOS,0.23%
Citrix Systems Inc,CTXS,0.21%
Broadridge Financial Solutions Inc,BR,0.20%
Qorvo Inc,QRVO,0.20%
Jack Henry & Associates Inc,JKHY,0.20%
Gartner Inc,IT,0.19%
Zebra Technologies Corp,ZBRA,0.19%
Seagate Technology PLC,STX,0.19%
NortonLifeLock Inc,NLOK,0.18%
NetApp Inc,NTAP,0.18%
Arista Networks Inc,ANET,0.17%
Western Union Co,WU,0.16%
F5 Networks Inc,FFIV,0.12%
Juniper Networks Inc,JNPR,0.12%
DXC Technology Co,DXC,0.10%
Xerox Holdings Corp,XRX,0.10%
FLIR Systems Inc,FLIR,0.10%
IPG Photonics Corp,IPGP,0.08%
Alliance Data Systems Corp,ADS,0.06%
Cash Component,CASH,0.00%
