Ticker,Company Name,Weights,Last,Change,%Change,Volume,52 Week Range
XOM,Exxon Mobil Corp,22.60%,66.32,-0.45,-0.67%,18.24 M,66.04 - 83.49
CVX,Chevron Corp,20.08%,111.85,-1.25,-1.11%,6.92 M,110.42 - 127.34
EOG,EOG Resources,4.69%,79.85,-1.98,-2.42%,3.13 M,64.33 - 107.89
COP,ConocoPhillips,4.61%,62.62,-0.52,-0.82%,5.69 M,50.13 - 71.01
KMI,Kinder Morgan Inc,4.24%,21.56,-0.20,-0.92%,16.73 M,17.54 - 21.88
SLB,Schlumberger Ltd,4.23%,35.77,-0.66,-1.81%,10.41 M,30.65 - 48.88
PSX,Phillips 66,4.10%,100.32,-1.76,-1.72%,2.12 M,80.24 - 119.92
OXY,Occidental Petroleum,3.80%,42.22,-0.30,-0.71%,8.80 M,37.25 - 68.83
VLO,Valero Energy Corp,3.70%,89.26,-0.25,-0.28%,2.58 M,69.44 - 101.99
MPC,Marathon Petroleum Corp.,3.57%,54.49,-0.84,-1.52%,4.61 M,43.96 - 69.65
OKE,ONEOK Inc,3.12%,74.84,-0.51,-0.68%,1.77 M,61.29 - 77.26
WMB,The Williams Companies Inc,2.71%,22.19,-0.25,-1.11%,11.81 M,21.90 - 29.55
PXD,Pioneer Natural Resources,2.37%,142.03,+1.60,+1.14%,1.27 M,114.79 - 178.22
HAL,Halliburton Co,2.05%,23.10,-0.48,-2.04%,11.68 M,16.97 - 32.71
HES,Hess Corp,1.68%,64.41,-2.12,-3.19%,2.12 M,51.05 - 74.11
CXO,Concho Resources Inc,1.67%,82.55,-1.62,-1.92%,2.33 M,61.37 - 124.53
BKR,Baker Hughes Company,1.50%,22.86,-0.10,-0.44%,5.02 M,20.43 - 28.65
FANG,Diamondback Energy Inc,1.35%,82.84,-1.86,-2.20%,1.61 M,73.18 - 114.14
APA,Apache Corp,1.14%,29.98,-0.29,-0.96%,3.47 M,18.33 - 38.12
NBL,Noble Energy Inc,1.05%,21.67,-0.68,-3.04%,3.67 M,19.01 - 28.40
MRO,Marathon Oil Corp,0.96%,11.93,-0.29,-2.37%,14.34 M,11.06 - 18.93
DVN,Devon Energy Corp,0.93%,23.95,-0.45,-1.84%,5.56 M,19.72 - 35.39
NOV,National Oilwell Varco Inc,0.85%,21.88,-0.84,-3.70%,2.17 M,18.05 - 32.63
FTI,TechnipFMC plc,0.76%,17.97,-0.46,-2.50%,4.49 M,17.84 - 28.57
HFC,HollyFrontier Corporation,0.70%,46.53,+0.33,+0.71%,2.74 M,37.73 - 58.88
COG,Cabot Oil & Gas A,0.60%,14.64,-0.59,-3.87%,11.09 M,14.44 - 27.65
XEC,Cimarex Energy Co,0.48%,47.15,-0.98,-2.04%,1.32 M,37.19 - 77.10
HP,Helmerich & Payne Inc,0.46%,42.23,-0.45,-1.05%,1.57 M,35.75 - 64.80
