Ticker,Company Name,Weights,Last,Change,%Change,Volume,52 Week Range
BRK-B,Berkshire Hathaway B,12.99%,226.86,-2.52,-1.10%,4.02 M,195.40 - 231.61
JPM,JP Morgan Chase & Co,12.23%,133.15,-3.39,-2.48%,15.17 M,98.09 - 141.10
BAC,Bank of America Corp,7.95%,33.54,-0.58,-1.70%,47.80 M,26.21 - 35.72
WFC,Wells Fargo & Co,5.36%,47.57,-0.65,-1.35%,21.24 M,43.34 - 54.75
C,Citigroup Inc,5.01%,78.42,-1.38,-1.73%,15.04 M,60.05 - 83.11
AXP,American Express Co,2.65%,135.11,3.74,2.85%,8.61 M,99.48 - 138.13
GS,Goldman Sachs Group Inc,2.26%,241.92,-3.66,-1.49%,2.88 M,180.73 - 250.46
USB,US Bancorp,2.24%,53.84,-1.04,-1.90%,6.18 M,47.57 - 61.11
CME,CME Group Inc A,2.20%,209.24,1,0.48%,1.25 M,161.05 - 224.91
TFC,Truist Financial Corp,2.18%,55.48,-0.88,-1.56%,5.52 M,44.51 - 56.92
SPGI,S&P Global Inc,2.11%,294.83,-2.36,-0.79%,835.83 K,185.08 - 299.59
CB,Chubb Limited,2.02%,152.01,-0.08,-0.05%,1.48 M,128.58 - 162.44
MS,Morgan Stanley,1.96%,54.55,-0.98,-1.76%,9.75 M,38.76 - 57.57
PNC,PNC Finl Services Group,1.93%,150.38,-2.33,-1.53%,3.15 M,118.70 - 161.79
BLK,BlackRock Inc,1.85%,536.84,-5.1,-0.94%,751.15 K,401.82 - 547.35
MMC,Marsh & McLennan Companies,1.68%,113.87,-0.36,-0.32%,915.04 K,82.10 - 114.74
ICE,Intercontinental Exchange Inc,1.58%,97.11,-0.19,-0.20%,1.88 M,71.90 - 98.09
SCHW,Charles Schwab Corp,1.58%,47.15,-1.27,-2.62%,11.27 M,34.58 - 51.65
AON,Aon plc,1.46%,213.42,0.32,0.15%,639.63 K,151.65 - 214.84
COF,Capital One Financial,1.42%,104.3,-1.73,-1.63%,2.53 M,76.82 - 107.59
PGR,Progressive Corp,1.31%,76.75,0.42,0.55%,1.70 M,64.70 - 84.96
AIG,American Intl Group Inc,1.30%,51.06,-0.55,-1.07%,3.23 M,40.00 - 58.66
MCO,Moody's Corp,1.22%,255.62,-1.47,-0.57%,495.58 K,154.60 - 258.89
MET,Metlife Inc,1.17%,51.27,-0.53,-1.02%,3.94 M,41.41 - 52.76
AFL,AFLAC Inc,1.13%,52.39,-0.17,-0.32%,2.79 M,46.96 - 57.18
BK,The Bank of New York Mellon Corp,1.13%,45.95,-0.76,-1.63%,6.42 M,40.52 - 54.27
ALL,Allstate Corp,1.12%,118.28,0.13,0.11%,2.15 M,85.55 - 118.75
PRU,Prudential Financial Inc,1.10%,93.52,-2.01,-2.10%,1.92 M,77.65 - 106.40
TRV,Travelers Cos Inc,1.02%,134.78,0.59,0.44%,1.76 M,123.61 - 155.09
TROW,T Rowe Price Group Inc,0.90%,131.18,-2.03,-1.52%,1.02 M,86.61 - 134.56
STT,State Street Corp,0.83%,78.34,-2.12,-2.63%,2.78 M,48.62 - 85.89
WLTW,Willis Towers Watson PLC,0.79%,209.01,2.35,1.14%,736.51 K,156.90 - 209.29
DFS,Discover Financial Services,0.70%,76.29,-9.56,-11.14%,12.38 M,64.86 - 92.98
MSCI,MSCI Inc,0.68%,276.11,-3.04,-1.09%,221.76 K,160.03 - 283.42
MTB,M&T Bank Corp,0.66%,171.49,1.12,0.66%,1.28 M,141.50 - 176.11
NTRS,Northern Trust Corp (IL),0.63%,101.62,-2.45,-2.35%,1.32 M,83.95 - 110.48
AMP,Ameriprise Financial Inc,0.62%,167.57,-3.81,-2.22%,558.93 K,117.09 - 173.75
HIG,Hartford Finl Services Group,0.62%,58.98,0.17,0.29%,2.08 M,45.91 - 62.75
FITB,Fifth Third Bancorp (OH),0.60%,28.84,-0.52,-1.77%,4.80 M,24.17 - 31.64
SYF,Synchrony Financial,0.57%,32.63,-3.57,-9.86%,15.78 M,29.19 - 38.18
KEY,KeyCorp,0.56%,19.29,-0.54,-2.72%,9.36 M,14.82 - 20.53
FRC,First Republic Bank,0.56%,113.75,-2.16,-1.86%,1.25 M,87.43 - 122.34
AJG,Arthur J. Gallagher & Co,0.53%,96.86,-0.13,-0.13%,479.54 K,71.55 - 97.30
CFG,Citizens Financial Group Inc,0.50%,39.13,-0.73,-1.83%,4.79 M,31.30 - 41.29
CINF,Cincinnati Financial Corp,0.47%,106.02,0.04,0.03%,330.08 K,78.14 - 118.19
RF,Regions Financial Corp,0.44%,15.72,-0.45,-2.78%,6.50 M,13.38 - 17.54
HBAN,Huntington Bancshares (OH),0.41%,13.72,-0.55,-3.82%,18.48 M,12.15 - 15.63
PFG,Principal Financial Group,0.41%,54.36,-0.97,-1.75%,1.19 M,46.56 - 60.81
MKTX,MarketAxess Holdings,0.40%,359.27,-8.01,-2.18%,245.77 K,207.16 - 421.45
CBOE-Z,"Cboe Global Markets, Inc",0.39%,0,0,0.00%,0,0.00 - 0.00
L,Loews Corp,0.38%,51.35,-0.11,-0.21%,650.50 K,44.17 - 56.20
SIVB,SVB Financial Group,0.38%,252.66,-6.42,-2.48%,976.71 K,183.04 - 270.40
NDAQ,Nasdaq Inc,0.37%,110.21,0.58,0.53%,695.94 K,82.22 - 110.29
LNC,Lincoln National Corp,0.33%,56.55,-1.78,-3.05%,1.67 M,50.82 - 67.52
RJF,Raymond James Financial Inc,0.33%,90.42,-0.82,-0.90%,1.57 M,72.94 - 97.66
RE,Everest Re Group Ltd,0.33%,277.35,-3.57,-1.27%,258.76 K,208.01 - 281.98
GL,Globe Life Inc.,0.31%,104.79,0.02,0.02%,299.96 K,79.70 - 107.28
WRB,WR Berkley Corp,0.31%,72.07,0.69,0.97%,671.18 K,49.59 - 77.54
ETFC,E*TRADE Financial Corp,0.30%,45.63,-0.44,-0.96%,5.63 M,34.68 - 52.35
CMA,Comerica Inc (MI),0.27%,64.73,-1.26,-1.91%,1.47 M,58.54 - 88.96
AIZ,Assurant Inc,0.23%,129.18,-1.15,-0.88%,337.98 K,91.84 - 134.89
ZION,Zions Bancorporation N.A.,0.23%,46.63,-1.16,-2.43%,2.59 M,39.11 - 52.48
BEN,Franklin Resources Inc,0.21%,25.26,-0.42,-1.64%,2.30 M,24.73 - 35.82
PBCT,People's United Financial Inc,0.21%,15.85,-0.21,-1.31%,3.57 M,13.81 - 18.03
IVZ,Invesco Ltd,0.20%,18.17,-0.3,-1.62%,5.42 M,15.15 - 22.18
UNM,Unum Group,0.17%,28.1,-0.57,-1.99%,1.61 M,24.71 - 38.29
