Ticker,Company Name,Weights,Last,Change,%Change,Volume,52 Week Range
PG,Procter & Gamble,16.04%,125.14,+0.15,+0.12%,9.51 M,92.97 - 127.00
KO,Coca-Cola Co,11.43%,57.68,-0.15,-0.26%,8.59 M,44.42 - 57.87
PEP,PepsiCo Inc,10.24%,142.92,-0.74,-0.51%,2.79 M,108.00 - 144.15
WMT,Walmart Inc.,8.34%,114.37,-1.44,-1.24%,4.38 M,93.11 - 125.38
COST,Costco Wholesale Corp,4.70%,310.51,-2.37,-0.76%,1.99 M,205.75 - 314.28
MDLZ,Mondelez International Inc,4.66%,55.09,-0.35,-0.63%,5.92 M,42.53 - 56.72
PM,Philip Morris International,4.50%,86.15,-0.93,-1.07%,3.89 M,69.27 - 92.74
MO,Altria Group Inc,4.43%,50.25,-0.31,-0.61%,10.05 M,39.30 - 57.88
CL,Colgate-Palmolive Co,3.54%,70.30,-0.31,-0.44%,2.94 M,60.96 - 76.41
KMB,Kimberly-Clark,2.89%,143.42,-1.23,-0.85%,2.11 M,107.44 - 149.23
EL,Estee Lauder Cos. A,2.69%,205.34,-3.53,-1.69%,2.42 M,125.67 - 220.42
SYY,Sysco Corp,2.48%,82.63,-0.96,-1.15%,1.90 M,61.49 - 85.98
WBA,Walgreens Boots Alliance Inc,2.29%,52.04,-1.26,-2.36%,6.42 M,49.03 - 74.95
GIS,General Mills Inc,1.91%,53.71,-0.53,-0.98%,2.55 M,42.80 - 56.40
STZ,Constellation Brands Inc A,1.89%,191.56,-2.41,-1.24%,853.10 K,163.52 - 214.48
MNST,Monster Beverage Corp New,1.51%,67.10,-0.67,-0.99%,2.35 M,52.23 - 68.01
TSN,Tyson Foods Inc A,1.49%,85.93,-2.03,-2.31%,2.69 M,58.20 - 94.24
ADM,Archer-Daniels-Midland Co,1.45%,44.30,-0.67,-1.49%,2.17 M,36.45 - 47.20
HSY,Hershey Foods Corp,1.35%,154.68,+0.85,+0.55%,592.63 K,100.80 - 162.20
KR,Kroger Co,1.33%,28.19,-0.25,-0.88%,4.64 M,20.70 - 29.97
MKC,McCormick & Co,1.25%,172.67,-0.10,-0.06%,698.13 K,119.72 - 174.58
CLX,Clorox Co,1.17%,158.28,-0.79,-0.50%,839.84 K,143.58 - 166.90
KHC,The Kraft Heinz Company,1.11%,30.41,-0.27,-0.88%,5.95 M,24.86 - 48.66
CHD,Church & Dwight Co,1.03%,71.31,+0.33,+0.46%,2.36 M,59.64 - 80.99
K,Kellogg Co,1.02%,69.34,-1.10,-1.56%,1.51 M,51.34 - 71.05
CAG,"Conagra Brands, Inc",0.92%,32.28,-0.41,-1.25%,3.05 M,20.85 - 35.59
LW,Lamb Weston Holdings Inc,0.78%,90.69,-0.20,-0.22%,519.04 K,58.83 - 94.46
BF.b,Brown-Forman Corp B,0.77%,71.79,-0.11,-0.15%,529.43 K,45.00 - 72.85
HRL,Hormel Foods Corp,0.77%,47.23,+0.24,+0.51%,1.67 M,37.00 - 47.37
SJM,J.M. Smucker Co,0.72%,107.67,-0.71,-0.66%,493.54 K,99.54 - 128.43
TAP,Molson Coors Beverage Co B,0.62%,56.12,-0.62,-1.09%,1.42 M,49.82 - 67.24
CPB,Campbell Soup Co,0.48%,48.79,-0.17,-0.35%,2.07 M,32.17 - 49.56
COTY,Coty Inc.,0.18%,10.54,-0.17,-1.59%,5.45 M,6.99 - 14.14
