Ticker,Company Name,Weights,Last,Change,%Change,Volume,52 Week Range
NEE,NextEra Energy Inc,13.71%,263.72,+3.64,+1.40%,2.58 M,171.74 - 264.08
SO,Southern Co,7.74%,69.44,+0.48,+0.70%,5.05 M,47.11 - 69.52
DUK,Duke Energy Corp,7.46%,96.28,+0.20,+0.21%,2.22 M,84.28 - 97.37
D,Dominion Energy Inc,7.35%,84.00,-0.07,-0.08%,2.64 M,68.28 - 84.42
AEP,American Electric Power,5.37%,102.16,+1.19,+1.18%,3.19 M,76.30 - 102.36
EXC,Exelon Corp,4.93%,47.73,-0.22,-0.46%,4.80 M,43.42 - 51.18
SRE,Sempra Energy,4.45%,159.76,-0.30,-0.19%,981.13 K,112.46 - 160.51
XEL,Xcel Energy Inc,3.77%,67.17,+0.27,+0.40%,1.85 M,50.10 - 67.48
PEG,Public Service Enterprise Grp,3.34%,61.66,-0.08,-0.13%,2.55 M,52.08 - 63.88
WEC,WEC Energy Group Inc,3.34%,98.96,+0.26,+0.26%,1.18 M,69.76 - 99.70
ED,Consolidated Edison Inc,3.33%,93.61,+0.84,+0.91%,1.46 M,75.25 - 94.97
ES,Eversource Energy,3.18%,91.81,+0.57,+0.62%,2.01 M,66.68 - 92.13
EIX,Edison Intl,2.95%,76.92,-0.77,-0.99%,1.54 M,54.25 - 78.49
FE,FirstEnergy Corp,2.92%,50.47,+0.12,+0.24%,2.43 M,38.11 - 50.75
PPL,PPL Corp,2.83%,36.53,-0.18,-0.49%,3.16 M,28.55 - 36.82
ETR,Entergy Corp,2.79%,130.73,+0.78,+0.60%,874.99 K,85.97 - 131.19
DTE,DTE Energy Co,2.73%,132.76,-1.14,-0.85%,1.25 M,112.86 - 134.72
AWK,American Water Works Co Inc,2.63%,135.78,+0.49,+0.36%,813.78 K,92.37 - 136.41
AEE,Ameren Corp,2.12%,80.39,+0.09,+0.11%,1.19 M,66.97 - 80.85
CMS,CMS Energy Corp,2.05%,67.49,+0.38,+0.57%,1.63 M,50.08 - 67.74
EVRG,Evergy Inc.,1.74%,71.37,+1.17,+1.67%,2.51 M,54.57 - 71.48
LNT,Alliant Energy Corp,1.52%,58.93,+0.47,+0.80%,1.29 M,42.51 - 59.02
ATO,Atmos Energy Corp,1.50%,117.38,+0.50,+0.43%,699.42 K,93.86 - 117.66
AES,AES Corp,1.45%,20.38,-0.18,-0.88%,2.05 M,14.60 - 20.71
CNP,Centerpoint Energy Inc,1.42%,26.46,-0.47,-1.75%,6.23 M,24.25 - 31.42
PNW,Pinnacle West Capital (AZ),1.17%,97.12,+1.28,+1.34%,763.11 K,84.26 - 99.81
NI,Nisource Inc,1.16%,29.08,-0.11,-0.38%,3.22 M,25.92 - 30.67
NRG,NRG Energy,1.02%,37.96,-0.91,-2.34%,2.91 M,32.63 - 43.66
